word,trans
ወደ, wädä
ሁሉ, hulu
እንደ, 'ndä
ዘንድ, zänd
ላይ, lay
እግዚአብሔር, 'gzi'äbħer
ግን, gn
ነው, näw
ጊዜ, gize
ነገር, nägär
ጋር, gar
ምዕራፍ, mʕraf
ስለ, slä
ልጆች, lǧoč
ልጅ, lǧ
ነበር, näbär
ሰው, säw
እኔ, 'ne
እንዲህ, 'ndih
ሆይ, hoy
ፊት, fit
ቤት, bet
ቀን, qän
እርሱም, 'rsum
አለ, 'älä
አለው, 'äläw
ደግሞ, dägmo
ቃል, qal
ነበረ, näbärä
ድረስ, dräs
ሰዎች, säwoč
ንጉሥ, nguś
አንድ, 'änd
እስከ, 'skä
እርሱ, 'rsu
እግዚአብሔርም, 'gzi'äbħerm
ውስጥ, wsT
እነሆ, 'näho
ምድር, mdr
አንተ, 'äntä
ይላል, ylal
ይህ, yh
በእግዚአብሔር, bä'gzi'äbħer
ብሎ, blo
ሆነ, honä
ጌታ, geta
በኋላ, bäḫʷala
ወይም, wäym
መካከል, mäkakäl
እጅ, 'ǧ
አምላክ, 'ämlak
ዓመት, ʕamät
ይህን, yhn
እናንተ, 'nantä
ይሆናል, yhonal
ስለዚህ, släzih
ሁለት, hulät
የእግዚአብሔር, yä'gzi'äbħer
እግዚአብሔርን, 'gzi'äbħern
ናቸው, načäw
ነበሩ, näbäru
አላቸው, 'älačäw
ሕዝብ, ħzb
እንጂ, 'nǧi
እኔም, 'nem
ምን, mn
መቶ, mäto
በዚያም, bäziyam
እነርሱም, 'närsum
እንዲሁ, 'ndihu
ለእግዚአብሔር, lä'gzi'äbħer
ደስ, däs
ስፍራ, sfra
ብዙ, bzu
የእግዚአብሔርን, yä'gzi'äbħern
በዚያ, bäziya
መሥዋዕት, mäśwaʕt
አቤቱ, 'äbetu
እጅግ, 'ǧg
ነውና, näwna
ሥራ, śra
ከፍ, käf
የእስራኤል, yä'sra'el
ከእርሱ, kä'rsu
ሺህ, ših
ማን, man
ዘመን, zämän
እንዲህም, 'ndihm
ከተማ, kätäma
ያለ, yalä
አገር, 'ägär
መንገድ, mängäd
ክፉ, kfu
እነዚህ, 'näzih
በምድር, bämdr
መልካም, mälkam
በእስራኤል, bä'sra'el
ስም, sm
ወገን, wägän
በዚህ, bäzih
ጀምሮ, ǧämro
መጽሐፈ, mäṣħäfä
ይሁን, yhun
አለቃ, 'äläqa
ንጉሡም, nguśum
ለዘላለም, läzälaläm
ኢየሱስ, 'iyäsus
ነበርና, näbärna
ሰባት, säbat
ነኝ, näñ
እንግዲህ, 'ngdih
መጣ, mäTa
ታላቅ, talaq
ዛሬ, zare
በእርሱ, bä'rsu
እነሆም, 'nähom
አሉ, 'älu
አሁን, 'ähun
ሦስት, śost
አለቆች, 'äläqoč
ማንም, manm
ዳዊትም, dawitm
አጠገብ, 'äTägäb
ይልቅ, ylq
አሁንም, 'ähunm
ክንድ, knd
ውኃ, wḫa
ከእኔ, kä'ne
ብለው, bläw
አሉት, 'älut
በኩል, bäkul
እነርሱ, 'närsu
ያለውን, yaläwn
ድምፅ, dmṩ
ኃጢአት, ḫaTi'ät
ወጣ, wäTa
ኢየሱስም, 'iyäsusm
አደረገ, 'ädärägä
ዳዊት, dawit
በታች, bätač
የተነሣ, yätänäśa
እንዴት, 'ndet
ሴት, set
ደግሞም, dägmom
አምስት, 'ämst
በዳ, bäda
ክርስቶስ, krstos
መንፈስ, mänfäs
, 
አይደለም, 'äydäläm
ቢሆን, bihon
ከእግዚአብሔር, kä'gzi'äbħer
የለም, yäläm
አሕዛብ, 'äħzab
ከአንተ, kä'äntä
