word,count,trans
ወደ, 6571, wädä
ሁሉ, 6154, hulu
እንደ, 4156, 'ndä
ዘንድ, 4133, zänd
ላይ, 3859, lay
እግዚአብሔር, 3437, 'gzi'äbħer
ግን, 3223, gn
ነው, 3109, näw
ጊዜ, 2660, gize
ነገር, 2423, nägär
ጋር, 2380, gar
ምዕራፍ, 2358, mʕraf
ስለ, 2279, slä
ልጆች, 2165, lǧoč
ልጅ, 2056, lǧ
ነበር, 1819, näbär
ሰው, 1702, säw
እኔ, 1537, 'ne
እንዲህ, 1532, 'ndih
ሆይ, 1486, hoy
ፊት, 1415, fit
ቤት, 1359, bet
ቀን, 1313, qän
እርሱም, 1245, 'rsum
አለ, 1244, 'älä
አለው, 1227, 'äläw
ደግሞ, 1181, dägmo
ቃል, 1178, qal
ነበረ, 1176, näbärä
ድረስ, 1175, dräs
ሰዎች, 1168, säwoč
ንጉሥ, 1062, nguś
አንድ, 1057, 'änd
እስከ, 1038, 'skä
እርሱ, 1019, 'rsu
እግዚአብሔርም, 1015, 'gzi'äbħerm
ውስጥ, 1008, wsT
እነሆ, 987, 'näho
ምድር, 952, mdr
አንተ, 947, 'äntä
ይላል, 939, ylal
ይህ, 933, yh
በእግዚአብሔር, 918, bä'gzi'äbħer
ብሎ, 893, blo
ሆነ, 880, honä
ጌታ, 860, geta
በኋላ, 831, bäḫʷala
ወይም, 780, wäym
መካከል, 768, mäkakäl
እጅ, 742, 'ǧ
አምላክ, 731, 'ämlak
ዓመት, 724, ʕamät
ይህን, 720, yhn
እናንተ, 705, 'nantä
ይሆናል, 671, yhonal
ስለዚህ, 669, släzih
ሁለት, 657, hulät
የእግዚአብሔር, 649, yä'gzi'äbħer
እግዚአብሔርን, 641, 'gzi'äbħern
ናቸው, 639, načäw
ነበሩ, 634, näbäru
አላቸው, 621, 'älačäw
ሕዝብ, 611, ħzb
እንጂ, 608, 'nǧi
እኔም, 600, 'nem
ምን, 578, mn
መቶ, 555, mäto
በዚያም, 548, bäziyam
እነርሱም, 546, 'närsum
እንዲሁ, 537, 'ndihu
ለእግዚአብሔር, 535, lä'gzi'äbħer
ደስ, 533, däs
ስፍራ, 528, sfra
ብዙ, 503, bzu
የእግዚአብሔርን, 502, yä'gzi'äbħern
በዚያ, 499, bäziya
መሥዋዕት, 499, mäśwaʕt
አቤቱ, 485, 'äbetu
እጅግ, 477, 'ǧg
ነውና, 473, näwna
ሥራ, 466, śra
ከፍ, 463, käf
የእስራኤል, 457, yä'sra'el
ከእርሱ, 456, kä'rsu
ሺህ, 454, ših
ማን, 443, man
ዘመን, 430, zämän
እንዲህም, 429, 'ndihm
ከተማ, 424, kätäma
ያለ, 418, yalä
አገር, 416, 'ägär
መንገድ, 414, mängäd
ክፉ, 409, kfu
እነዚህ, 409, 'näzih
በምድር, 408, bämdr
መልካም, 407, mälkam
በእስራኤል, 398, bä'sra'el
ስም, 386, sm
ወገን, 385, wägän
በዚህ, 384, bäzih
ጀምሮ, 380, ǧämro
መጽሐፈ, 375, mäṣħäfä
ይሁን, 372, yhun
አለቃ, 362, 'äläqa
ንጉሡም, 362, nguśum
ለዘላለም, 360, läzälaläm
ኢየሱስ, 354, 'iyäsus
ነበርና, 352, näbärna
ሰባት, 351, säbat
ነኝ, 348, näñ
እንግዲህ, 347, 'ngdih
መጣ, 345, mäTa
ታላቅ, 343, talaq
ዛሬ, 341, zare
በእርሱ, 341, bä'rsu
እነሆም, 341, 'nähom
አሉ, 339, 'älu
አሁን, 335, 'ähun
ሦስት, 335, śost
አለቆች, 331, 'äläqoč
ማንም, 328, manm
ዳዊትም, 327, dawitm
አጠገብ, 327, 'äTägäb
ይልቅ, 325, ylq
አሁንም, 324, 'ähunm
ክንድ, 319, knd
ውኃ, 314, wḫa
ከእኔ, 314, kä'ne
ብለው, 311, bläw
አሉት, 310, 'älut
በኩል, 307, bäkul
እነርሱ, 304, 'närsu
ያለውን, 304, yaläwn
ድምፅ, 304, dmṩ
ኃጢአት, 303, ḫaTi'ät
ወጣ, 302, wäTa
ኢየሱስም, 301, 'iyäsusm
አደረገ, 300, 'ädärägä
ዳዊት, 300, dawit
በታች, 299, bätač
የተነሣ, 297, yätänäśa
እንዴት, 296, 'ndet
ሴት, 296, set
ደግሞም, 296, dägmom
አምስት, 295, 'ämst
በዳ, 295, bäda
ክርስቶስ, 294, krstos
መንፈስ, 293, mänfäs
, 292, 
አይደለም, 286, 'äydäläm
ቢሆን, 283, bihon
ከእግዚአብሔር, 282, kä'gzi'äbħer
የለም, 279, yäläm
አሕዛብ, 276, 'äħzab
ከአንተ, 275, kä'äntä
የሆነ, 273, yähonä
ገና, 272, gäna
ነገድ, 270, nägäd
ከዚያም, 270, käziyam
ሌላ, 268, lela
እኛ, 268, 'ña
ከእርሱም, 267, kä'rsum
አሥራ, 263, 'äśra
የእስራኤልም, 262, yä'sra'elm
ቍርባን, 262, qʷrban
ሄደ, 261, hedä
የሰው, 260, yäsäw
ሴቶች, 258, setoč
ንጉሡ, 256, nguśu
ናት, 254, nat
ከተሞች, 253, kätämoč
በዚያን, 253, bäziyan
የእግዚአብሔርም, 253, yä'gzi'äbħerm
ትንቢተ, 253, tnbitä
ሙሴም, 248, musem
ሕዝቡም, 245, ħzbum
አራት, 245, 'ärat
አንተም, 245, 'äntäm
ከእናንተ, 244, kä'nantä
ከእነርሱ, 241, kä'närsu
ተራራ, 240, tärara
እስራኤል, 239, 'sra'el
በኢየሩሳሌም, 239, bä'iyärusalem
ወይስ, 236, wäys
ኦሪት, 235, 'orit
ሆኖ, 234, hono
ያለው, 233, yaläw
የሠራዊት, 233, yäśärawit
ምንም, 232, mnm
እርስዋም, 231, 'rswam
ሙሴን, 229, musen
እንጀራ, 228, 'nǧära
ሀያ, 227, häya
ለእስራኤል, 223, lä'sra'el
ወር, 218, wär
ይህም, 218, yhm
ነገሥታት, 215, nägäśtat
ብቻ, 215, bča
ከእስራኤል, 214, kä'sra'el
ምንድር, 210, mndr
ልብ, 209, lb
ክብር, 208, kbr
ዕቃ, 208, ʕqa
መልሶ, 206, mälso
ሕግ, 205, ħg
በእኔ, 205, bä'ne
ወለደ, 204, wälädä
ቅዱስ, 204, qdus
ኪዳን, 203, kidan
ደም, 200, däm
ስለዚህም, 199, släzihm
ኢየሩሳሌም, 197, 'iyärusalem
ድንኳን, 197, dnkʷan
በቀር, 195, bäqär
ደቀ, 195, däqä
መጡ, 194, mäTu
በይሁዳ, 193, bäyhuda
በእውነት, 192, bä'wnät
ከእነርሱም, 192, kä'närsum
ሲል, 191, sil
በውኑ, 190, bäwnu
ትእዛዝ, 190, t'zaz
ራስ, 188, ras
አለኝ, 186, 'äläñ
ከዚህ, 186, käzih
ስድስት, 186, sdst
እርስ, 186, 'rs
እንኳ, 184, 'nkʷa
አድርጎ, 181, 'ädrgo
