list, Map1
לֹא, lo'
כִּי, ki
וְלֹא, wlo'
וַיֹאמֶר, wayo'mer
אִיוֹֹב, iyov
עָלַי, ʕalay
וַיַעַן, wayaʕan
עָלָיו, ʕalaw
לִי, li
מִי, mi
לוֹֹ, lo
לוּ, lu
הוּא, hu'
לְךָ, lxa
לָךְ, lax
הֵן, hen
אֲשֶׁר, ašer
אֵל, el
אוֹֹר, or
אֵלָיו, elaw
עִמָדִי, ʕimadi
רְשָׁעִים, ršaʕim
נַפְשִׁי, nafši
אֶרֶץ, eret͡s
וְאֵין, w'eyn
שָׁמָיִם, šamayim
זֶה, ze
עוֹֹד, ʕod
עוֹֹלָה, ʕola
בָּאָרֶץ, ba'aret͡s
עִמְךָ, ʕimxa
דַבֵּר, daber
דִבֶּר, diber
דָבָר, davar
אִישׁ, iyš
עִמוֹֹ, ʕimo
אֱנוֹֹשׁ, enwoš
בִּי, bi
אָדָם, adam
יֵצֵא, yet͡se'
יָצָא, yat͡sa'
יֹצִא, yot͡si'
בּוֹֹ, bo
שֵׁם, šem
שָׁם, šam
שָׂם, sam
יָדַעְתִי, yadaʕti
וְהוּא, whu'
מִמֶנִי, mimeni
מִשְׁפָּט, mišpaṭ
נַפְשׁוֹֹ, nafšo
אוֹֹ, o
עַל־כֵּן, ʕal־ken
אִם־לֹא, im־lo'
יַחַד, yaħad
אַף, af
לַיְלָה, layla
יָמִים, yamiym
עֵינָי, ʕeynay
עֵינִי, ʕeyni
וַיְהִי, wayhi
דַרְכּוֹֹ, darkwo
מִי־יִתֵן, mi־yiten
וְעַתָה, wʕata
מִסְפָּר, mispar
עָמָל, ʕamal
עָמֵל, ʕamel
לָאֵל, la'el
לְאַל, l'al
פָּנַי, panay
פְּנֵי, pney
צַלְמָוֶת, t͡salmawet
אָנֹכִי, anoxi
אֶל־אֵל, el־'el

אֲנִי, ani
אָנִי, ani
תַחַת, taħat
וְאוּלָם, w'lam
אֶת־אִיוֹֹב, et־'iywov
אֵין, eyn
וְרוּחַ, wrħa
כִּי־עַתָה, ki־ʕata
יֵעָנֶה, yeʕane
יְעַנֶה, yʕane
יַעֲנָה, yaʕana
יַעֲנֶה, yaʕane
בָּנָיו, banayw
בָנָיו, vanayw
עָלֵימוֹֹ, ʕaleymwo
הָיִיתִי, hayiyti
רוּחִי, rħi
וּמִי, mi
אָוֶן, awen
אֶתְכֶם, etxem
וְאַחַר, w'aħar
וְאַחֵר, w'aħer
רָשָׁע, rašaʕ
מֵעָלָי, meʕalay
מֵעָלַי, meʕalay
רַגְלָי, raglay
רַגְלַי, raglay
רַגְלִי, ragli
יָמָי, yamay
יְמֵי, ymey
יָמַי, yamay
הִנֵה, hine
לָכֵן, laxen
יִרְאֶה, yir'e
יִרְאָה, yir'a
אֶת־יְהוָה, et־yhwa
חָשַׁךְ, ħašax
חֹשֶׁךְ, ħošex
מִלִים, miliym
חָנֵף, ħanef
שִׁמְעוּ, šimʕ
שָׁמְעוּ, šamʕ
אֵלֶיךָ, eleyxa
הַשָׂטָן, hasaṭan
יְהִי, yhi
זָהָב, zahav
הָאָרֶץ, ha'aret͡s
מַיִם, mayim
תָבוֹֹא, tavwo'
תָבוֹֹא, tavwo'
אֶל־הַשָׂטָן, el־hasaṭan
כִּי־לֹא, ki־lo'
פָתַח, fataħ
פָּתַח, pataħ
פִּתֵחַ, piteħa
פִתַח, fitaħ
פִתֵחַ, fiteħa
עַל־עָפָר, ʕal־ʕafar
הַתֵימָנִי, hateymani
אֱלִיהוּא, eliy'
דְבָרִי, dvari
דְבָרַי, dvaray
דְבָרַי, dvaray
דַבְּרִי, dabri
דִבְרֵי, divrey
עֹשֶׂה, ʕose
עָשָׂה, ʕasa
שְׂפָתַי, sfatay
לִבֶּךָ, libexa
לִבְּךָ, libxa
וְשַׁדַי, wšaday
בַּלְהוֹֹת, balhwot
בַלָהוֹֹת, valahwot
בַּלָהוֹֹת, balahwot
אֲדַבֵּר, adaber
הַהוּא, ha'
כְּמַיִם, kmayim
כַמַיִם, xamayim
כַּמָיִם, kamayim
אֹבֵד, oved
אָבַד, avad
אָבָד, avad
שְׁאוֹֹל, š'wol
רָע, raʕ
אֶחָד, eħad
לָאָרֶץ, la'aret͡s
יִתֵן, yiten
כַּבִּיר, kabiyr
