list,            Map1
תְמוּרָתוֹֹ,         tmurato
אֹבֵד,            oved
מֵעֹשֵׂהוּ,          meʕosehu
כֻלָם, xulam
אָמַר,            amar
יָקוּם,           yaqm
תַפּוּחַ, tapuaħ
עֵינָיו, ʕeynaw
בִּלְבָבֶךָ,          bilvavexa
תִשָׁבֵר,           tišaver
לוּ, lu
בְּיָדֶךָ,           byadexa
שְׁלֹמֹה, šlomo
זֹהַר, zohar
סָגוּר,           sagur
לְקוֹֹל,           lqol
נֹתֵן,            noten
הֵסִיר,           hesir
כַּבִּיר,           kabiyr
מַיִם, mayim
מֶלֶך, melex
יָדְךָ,            yadxa
יָצְאָה,           yat͡s'a
מְקוֹֹם, mqom
מִמָעַל,           mimaʕal
נַפְשָׁם, nafšam
בַּחֹשֶׁךְ,           baħošex
הָיֹה, hayo
מִמֶנִי,               mimeni
וְאַתְ, w'at
לָאָרֶץ,           la'aret͡s
דַלְתֵי,           daltey
כָּמֹהוּ,           kamohu
הַנָהָר, hanahar
יֵרֵד, yered
רוּחַ, ruaħ
מְאֹד,                m'od
יִשְׁמָע,           yišmaʕ
יָדִי,            yadi
בַּיִת, bayit
יָצְאוּ,           yat͡s'u
עִמְךָ,            ʕimxa
אֶחָד, eħad
וְעַל,            wʕal
קְטַנָה, qṭana
יַעֲנֶה,           yaʕane
עַל, ʕal
פָּנָיו,           panaw
רֵעֵי,            reʕey
הֲפָכָם,           hafaxam
דָבָר, davar
יֵדַע, yedaʕ
רֹעֶה,            roʕe
הַנֹעַר, hanoʕar
נְחָלִים,          nħaliym
כֶּעָפָר,           keʕafar
רְאֵה, r'e
יָשָׁן, yašan
וְאַחֵר,           w'aħer
אֹמַר,            omar
אֹפֶל,            ofel
רָאָה, ra'a
אֶתְכֶם,           etxem
הַיוֹֹם, hayom
לֵךְ, lex
מַר, mar
יָדַעְתִי,          yadaʕti
חֲסָדֶךָ,               ħasadexa
אֹזֶן,            ozen
וְאִם, w'im
חֻקִי,            ħuqi
אָבִיב, aviv
יִשְׁמַע,           yišmaʕ
הַלָיְלָה,          halayla
צַח, t͡saħ
וּרְאֵה,           ur'e
בְּאֶחָד,           b'eħad
כֹּה, ko
הִכּוּ,            hiku
מִתוֹֹךְ, mitox
עַמִים,               ʕamim
כּוֹֹכָב, koxav
וַיַעַן,           wayaʕan
אַתָה, ata
לְבַדִי,           lvadi
אֲדַבֵּר,           adaber
אוֹֹרוֹֹ,           oro
וְאִישׁ,           w'iš
קֵן, qen
דָמִי,            dami
נֹטֶה,            noṭe
הַנֶשֶׁר, hanešer
נָתַן, natan
אֶפְתַח,           eftaħ
פִּתְאֹם, pit'om
וְאָנֹכִי,          w'anoxi
עוֹֹר,            ʕor
כֹּחַ, koaħ
בִּלְתִי, biltiy
שָׁחַר, šaħar
שָׁלֶג,            šaleg
יָמִים, yamim
אָכְלָה,           axla
שְׂפָתָיו,          sfataw
הַזֶה, haze
רֹאשִׁי,           ro'ši
יֵשׁ, yeš
עֹז, ʕoz
פִּשְׁעִי,           pišʕi
הֶהָרִים, heharim
יֹצִא,            yot͡si'
הַנַעֲמָתִי,         hanaʕamati
יוֹֹמָם,           yomam
פָּנַי,            panay
וְאַחַר,           w'aħar
וְכֹל,            wxol
רָאוּ,            ra'u
פָּתַח,            pataħ
מִיָם, miyam
שַׁעַר,            šaʕar
אָמַרְתִי,          amarti
זְכָר־נָא,         zxar-na'
תָמִיד, tamid
וְעֵינַי,          wʕeynay
וַיְהִי,           wayhi
וְיָשָׁר,           wyašar
פֹּה, po
בִּטְנוֹֹ,           biṭno
צִדְקֶךָ,           t͡sidqexa
כֹּל, kol
אֵין, eyn
טָרַף,            ṭaraf
אֵל, el
פִּי, pi
גַרְגֵר, garger
וּמִסְפַּר,          mispar
הוֹֹלֵךְ, holex
הָבָה, hava
וְעֵינֵי,          wʕeyney
עָמְדוּ,           ʕamdu
אַחַי, aħay
כְּבָר, kvar
בְּכָל־זֹאת,        bxol-zo't
יִבְרָח,           yivraħ
יָבוֹֹא,           yavo'
וְלֹא,            wlo'
לֵב, lev
נָכוֹֹן,           naxon
וַיָבֹאוּ,          wayavo'u
רַגְלִי,           ragli
דַרְכָּם,           darkam
הִיא,            hi'
עֶרֶב, ʕerev
שְׁחֹרָה, šħora
בְּבֹר,            bvor
כָּל־יְמֵי,         kol-ymey
יִרְאָה,           yir'a
עָלֶיהָ,           ʕaleyha
זְכֹר,            zxor
גֶבֶר,            gever
<<<<<<<<<<<,
אָסֹף, asof
כִּימֵי,           kiymey
פַּחַד,            paħad
חָטְאוּ,           ħaṭ'u
אֲבוֹֹתָם,          avotam
נַחַל,            naħal
מֵי, mey
צַעֲדֵי,           t͡saʕadey
בְּלֵיל, bleyl
מָקוֹֹם, maqom
אֶהְיֶה,           ehye
דְבָרַי,           dvaray
