list, Map1
יְהֹוָה, yhowah
יְהוָה, yhwah
אֲשֶׁר, 'ašer
מֹשֶׁה, mošeh
מִשֶׂה, miSeh
וַיֹאמֶר, wayo'mer
וַיֹאמַר, wayo'mar
מִצְרַיִם, miṣrayim
מִצְרָיִם, miṣrayim
כִּי, kiy
יִשְׂרָאֵל, yiSra'el
לֹא, lo'
זָהָב, zahav
זְהַב, zhav
אֶל־מֹשֶׁה, 'el־mošeh
אִתָם, 'itam
אֹתָם, 'otam
אַתֶם, 'atem
פַרְעֹה, farɣoh
פַּרְעֹה, parɣoh
אֵת, 'et
אֹתוֹֹ, 'otwo
אִתוֹֹ, 'itwo
וְאֵת, w'et
וְעָשִׂיתָ, wɣaSiyta
אִישׁ, 'iyš
הוּא, h'
הִוא, hiw'
וַיַעַשׂ, wayaɣaS
לַיהוָה, layhwah
לַיהֹוָה, layhowah
לֵאמֹר, le'mor
לֵאמֹר, le'mor
כַּאֲשֶׁר, ka'ašer
וְהָיָה, whayah
וֶהְיֵה, wehyeh
לִפְנֵי, lifney
לְפָנַי, lfanay
הָעָם, haɣam
הַזֶה, hazeh
אַהֲרֹן, 'aharon
וְלֹא, wlo'
לוֹֹ, lwo
לוֹֹ, lwo
וִיהִי, wiyhiy
וַיְהִי, wayhiy
עַל, ɣal
בְּנִי, bniy
בְּנֵי, bney
בָּנַי, banay
לְךָ, lxa
לֵךְ, lex
לָךְ, lax
שָׁנִי, šaniy
שְׁנֵי, šney
תַעֲשֶׂה, taɣaSeh
תַעֲשֶׂה, taɣaSeh
תֵעָשֶׂה, teɣaSeh
לָכֶם, laxem
אֹתָה, 'otah
אַתָה, 'atah
עֹשֵׂה, ɣoSeh
עֹשֶׂה, ɣoSeh
עָשָׂה, ɣaSah
אֱלֹהִים, 'elohiym
לָהֶם, lahem
תַחַת, taħat
בְּנֵי־יִשְׂרָאֵל, bney־yiSra'el
בְנֵי־יִשְׂרָאֵל, vney־yiSra'el
מוֹֹעֵד, mwoɣed
עָלָיו, ɣalayw
סָבִיב, saviyv
הָאֶחָד, ha'eħad
צִוָּה, ṣiah
אֶתְכֶם, 'etxem
אִתְכֶם, 'itxem
הַמִשְׁכָּן, hamiškan
מַעֲשֵׂה, maɣaSeh
נְחֹשֶׁת, nħošet
כֵן, xen
כֵּן, ken
טָהוֹֹר, ṭahwor
אֲנִי, 'aniy
אָנִי, 'aniy
אֱלֹהֵי, 'elohey
שִׂטִים, Siṭiym
שִׁטִים, šiṭiym
אֲלֵהֶם, 'alehem
אֵלָיו, 'elayw
יָמִים, yamiym
יִהְיֶה, yihyeh
אֶל־יְהוָה, 'el־yhwah
מִמֶנוּ, mimen
דֶבֶר, dever
דִבֶּר, diber
דַבֵּר, daber
דַבֵּר, daber
דָבָר, davar
דֹבֵר, dover
דִבֵּר, diber
כָּסֶף, kasef
כֶסֶף, xesef
כֶּסֶף, kesef
אֶת־מֹשֶׁה, 'et־mošeh
לִי, liy
לִי, liy
תְכֵלֶת, txelet
בַיוֹֹם, vaywom
בַּיוֹֹם, baywom
בְּיוֹֹם, bywom
אָמַר, 'amar
אָמָר, 'amar
אֱמֹר, 'emor
אֹמַר, 'omar
אֹמֵר, 'omer
וַיִקְרָא, wayiqra'
אֶת־הָעָם, 'et־haɣam
בְּאֶרֶץ, b'ereṣ
בָּאָרֶץ, ba'areṣ
וַיֹאמרוּ, wayo'mr
וַיֹאמְרוּ, wayo'mr
הֶחָצֵר, heħaṣer
אוֹֹ, 'wo
עֲצֵי, ɣaṣey
מָשְׁזָר, mašzar
וְאַהֲרֹן, w'aharon
מֵאֶרֶץ, me'ereṣ
הָאֶחָת, ha'eħat
הָאַחַת, ha'aħat
שַׁלַח, šalaħ
שִׁלַח, šilaħ
שֹׁלֵחַ, šoleħa
שָׁלַח, šalaħ
שְׁלַח, šlaħ
וְאַרְגָמָן, w'argaman
הִנֵה, hineh
הֵנָה, henah
אָנֹכִי, 'anoxiy
