list, Map1
כִּי, kiy
יְהוָה, yhwah
אֱלֹהֵיכֶם, 'eloheyxem
אֲשֶׁר, 'ašer
יוֹֹם, ywom
יְהוּדָה, yhdah
כֹּל, kol
אָכַל, 'axal
אֹכֶל, 'oxel
מִבֵּית, mibeyt
וַיהוָה, wayhwah
מְשָׁרְתֵי, mšartey
אָכְלָה, 'axlah
אֹכְלָה, 'oxlah
לֹא, lo'
הָאָרֶץ, ha'arec
בְּצִיוֹֹן, bciywon
לָכֶם, laxem
אִסְפוּ, 'isf
אָסְפוּ, 'asf
קָרוֹֹב, qarwov
יַעֲלוּ, yaʕal
הָאַרְבֶּה, ha'arbeh
הַכֹּהֲנִים, hakohaniym
נְאוֹֹת, n'wot
וְאַחֲרָיו, w'aħarayw
מִנְחָה, minħah
עָצוּם, ʕacm
וְהָיָה, whayah
אֵשׁ, 'eš
מִדְבַּר, midbar
מִדְבָּר, midbar
עוֹֹד, ʕwod
בַּגוֹֹיִם, bagwoyim
בַגוֹֹיִם, vagwoyim
תִהְיֶה, tihyeh
תִהְיֶה, tihyeh
לְעוֹֹלָם, lʕwolam
הַיֶלֶק, hayeleq
הַיָלֶק, hayaleq
יִשְׂרָאֵל, yisra'el
שָׁם, šam
שָׂם, sam
מִלְחָמָה, milħamah
אֹתָם, 'otam
אַתֶם, 'atem
לְפָנָיו, lfanayw
וּבְנֵי, vney
וָנֶסֶךְ, wanesex
וָנָסֶךְ, wanasex
אָנִי, 'aniy
אֲנִי, 'aniy
שָׂדֶה, sadeh
אֲדָמָה, 'adamah
לְדוֹֹר, ldwor
יְהוֹֹשָׁפָט, yhwošafaṭ
שְׁמָמָה, šmamah
תִקְעוּ, tiqʕ
בְּנֵי, bney
וְכוֹֹכָבִים, wxwoxaviym
בַּיָמִים, bayamiym
הֶהָרִים, hehariym
לְעַמוֹֹ, lʕamwo
לוֹֹ, lwo
לוֹֹ, lwo
לַעֲשׂוֹֹת, laʕaswot
שֻׁדַד, šudad
אֶל־הַיָם, 'el־hayam
יֵלֵכוּן, yelexn
נָגְהָם, nagham
גְמֻלְכֶם, gmulxem
גְמֻלְכֶם, gmulxem
וְנִחָם, wniħam
הִנְנִי, hinniy
עֲצָרָה, ʕacarah
אֶל־עֵמֶק, 'el־ʕemeq
הַגָדוֹֹל, hagadwol
יָבְשׁוּ, yavš
יָבֵשׁוּ, yaveš
קִרְאוּ, qir'
קוֹֹלוֹֹ, qwolwo
נִכְרַת, nixrat
נִכְרָת, nixrat
שׁוֹֹפָר, šwofar
תִירוֹֹשׁ, tiyrwoš
שֹׁכֵן, šoxen
הַיְקָבִים, hayqaviym
וְאֵשׁ, w'eš
וָאֵשׁ, wa'eš
הֵילִילוּ, heyliyl
קִבְצוּ, qivc
קִבְּצוּ, qibc
כְּקוֹֹל, kqwol
הַשָׂדֶה, hasadeh
לִפְנֵי, lifney
מָיִם, mayim
יֵצֵא, yece'
מִסָבִיב, misaviyv
הֲמוֹֹנִים, hamwoniym
הֶחָרוּץ, heħarc
וִידַעְתֶם, wiydaʕtem
לִבְנֵי, livney
וְיֶתֶר, wyeter
עָלָי, ʕalay
עָלַי, ʕalay
יְרֻצוּן, yrucn
יוֹֹם־יְהוָה, ywom־yhwah
וְיָרֵחַ, wyareħa
וְאִישׁ, w'iyš
וְאֵין, w'eyn
אֶשְׁפּוֹֹךְ, 'ešpwox
וִירוּשָׁלָם, wiyršalam
וִירוּשָׁלַם, wiyršalam
בֹּאוּ, bo'
קָצִיר, qaciyr
קְצִיר, qciyr
קַדְשׁוּ־צוֹֹם, qadš־cwom
שָׁמָיִם, šamayim
שָׁמַיִם, šamayim
אֵלֶיךָ, 'eleyxa
מְאֹד, m'od
אֶת־כָּל־הַגוֹֹיִם, 'et־kal־hagwoyim
וְגַם, wgam
קַדְשׁוּ, qadš
עַמִי, ʕamiy
קָדָרוּ, qadar
יְרוּשָׁלַם, yršalam
שֶׁמֶשׁ, šemeš
דָגָן, dagan
זְקֵנִים, zqeniym
אֶת־רוּחִי, 'et־rħiy
הָהֵמָה, hahemah
אֶל־יְהוָה, 'el־yhwah
כָּל־עֲצֵי, kal־ʕacey
וְלֹא־יֵבֹשׁוּ, wlo'־yevoš
וָדוֹֹר, wadwor
בְּרֹאשְׁכֶם, bro'šxem
בְּעֵמֶק, bʕemeq
רַב, rav
שָׁמָה, šamah
יֹשְׁבֵי, yošvey
וְהֵילִלוּ, wheylil
כֵּן, ken
חוּסָה, ħsah
עוּשׁוּ, ʕš
וָגִיל, wagiyl
לִצְדָקָה, licdaqah
וּכְשֹׁד, xšod
מַמְגֻרוֹֹת, mamgurwot
חִלֵקוּ, ħileq
כְּמַרְאֵה, kmar'eh
וּמַלְקוֹֹשׁ, malqwoš
וּמִי, miy
וְרַב־חֶסֶד, wrav־ħesed
שָׂרִיגֶיהָ, sariygeyha
מִשַׁדַי, mišaday
תֵשֵׁב, tešev
עַל־הָרָעָה, ʕal־haraʕah
תַחַת, taħat
לְמַעַן, lmaʕan
וְקִבַּצְתִי, wqibactiy
בַּחוּרֵיכֶם, baħreyxem
הַמִדְבָּר, hamidbar
חָלָב, ħalav
יִפֹּלוּ, yipol
עִמָם, ʕimam
רַבָּה, rabah
שֹׁלֵחַ, šoleħa
חֹשֶׁךְ, ħošex
אֶת־הַדָגָן, 'et־hadagan
וּזְהָבִי, zhaviy
וְעָצוּם, wʕacm
וְנִבְּאוּ, wnib'
קֹרֵא, qore'
וְהִלַלְתֶם, whilaltem
בָּר, bar
יִגְשׁוּ, yigš
עַמִים, ʕamiym
מוֹֹפְתִים, mwoftiym
אֱלֹהֵיהֶם, 'eloheyhem
וְנָתַתִי, wnatatiy
עַל־אַרְצִי, ʕal־'arciy
עֵינֵינוּ, ʕeyneyn
כְּשַׁחַר, kšaħar
גִבּוֹֹרֶיךָ, gibworeyxa
הַגוֹֹיִם, hagwoyim
עַל־הָעֲבָדִים, ʕal־haʕavadiym
וּבְמִסְפֵּד, vmisped
אֶתְכֶם, 'etxem
פְלֵיטָה, fleyṭah
מֵעַל, meʕal
הִנֵה, hineh
הָאוּלָם, ha'lam
אָמַר, 'amar
פִרְיוֹֹ, firywo
סַפֵּרוּ, saper
וּמְתַלְעוֹֹת, mtalʕwot
פָארוּר, fa'rr
בָעַמִים, vaʕamiym
כְּעַם, kʕam
הֶהָיְתָה, hehaytah
לְבַבְכֶם, lvavxem
פָּרֻשׂ, parus
וְהַיִצְהָר, whayichar
אֻמְלָלָה, 'umlalah
אַנְשֵׁי, 'anšey
לַחֲרָבוֹֹת, laħaravwot
מִפָּנָיו, mipanayw
לִי, liy
אֶל־גוֹֹי, 'el־gwoy
יִרְאוּ, yir'
וְאִם־גֹמְלִים, w'im־gomliym
נְאֻם־יְהוָה, n'um־yhwah
בְקֶרֶב, vqerev
וָבֹאוּ, wavo'
כִּי־חַנוּן, kiy־ħann
לִשְׁמָמָה, lišmamah
אשוב, 'שwv
אֱלִי, 'eliy
הַגֳרָנוֹֹת, hagaranwot
הִלְבִּינוּ, hilbiyn
בְּשֵׁם, bšem
מַרְאֵהוּ, mar'eh
הַמִלְחָמָה, hamilħamah
אַיֵה, 'ayeh
וְאִם, w'im
יֵלְכוּ, yelx
עַם, ʕam
כָּל־שֹׁתֵי, kal־šotey
מַחֲנֵהוּ, maħaneh
לַיהוָה, layhwah
לָמָה, lamah
וְכֹל, wxol
מֵעֲלֵיכֶם, meʕaleyxem
אֲשֶׁר־מְכַרְתֶם, 'ašer־mxartem
וְנַחֲלָתִי, wnaħalatiy
מַרְכָּבוֹֹת, markavwot
חָתָן, ħatan
וִיהוּדָה, wiyhdah
אֻמְלַל, 'umlal
וּמַעְיָן, maʕyan
הָיָה, hayah
מַגָל, magal
יֹאמַר, yo'mar
יַדוּ, yad
לִבְנֵיכֶם, livneyxem
וְהֶחָסִיל, wheħasiyl
כִּי־עֵץ, kiy־ʕec
בַיַיִן, vayayin
הַגִבּוֹֹרִים, hagibworiym
קֹדֶשׁ, qodeš
לְחֹשֶׁךְ, lħošex
חֲשָׂפָה, ħasafah
כִּי־מָלְאָה, kiy־mal'ah
[אָשִׁיב], ['ašiyv]
יִתֵן, yiten
נַחֲלָתְךָ, naħalatxa
אַרְחִיק, 'arħiyq
הֲלוֹֹא, halwo'
זֹאת, zo't
כִּי־גָדוֹֹל, kiy־gadwol
וְלַמִזְבֵּחַ, wlamizbeħa
גוֹֹיִם, gwoyim
עָדַי, ʕaday
הַחַלָשׁ, haħalaš
יְעַבְּטוּן, yʕabṭn
וְתִימֲרוֹֹת, wtiymarwot
גַת, gat
וְהַגָזָם, whagazam
בַּשָׁמַיִם, bašamayim
דְבָרוֹֹ, dvarwo
נֶהֶרְסוּ, nehers
צֹר, cor
מִרְעֶה, mirʕeh
וְאֶל־עַמִי, w'el־ʕamiy
הַגָזָם, hagazam
מֶגְרְפֹתֵיהֶם, megrfoteyhem
וְתַפּוּחַ, wtapħa
יֹאמְרוּ, yo'mr
פְרֻדוֹֹת, frudwot
יִשְׁאָג, yiš'ag
לֶהָבָה, lehavah
עָבְשׁוּ, ʕavš
יֵהָפֵךְ, yehafex
וּמִירוּשָׁלַם, miyršalam
וְשָׂבוֹֹעַ, wsavwoʕa
עֹשֵׂה, ʕoseh
רָחוֹֹק, raħwoq
יָשׁוּב, yašv
בִּימֵי, biymey
פְּלָשֶׁת, plašet
עָנָן, ʕanan
מִן־בְּנֵי, min־bney
וּבְנֵיהֶם, vneyhem
אַחֲרָיו, 'aħarayw
כִּי־הֹבִישׁ, kiy־hoviyš
נִהְיָה, nihyah
לִמְשָׁל־בָּם, limšal־bam
וּמְכָרוּם, mxarm
אַל־תִירְאִי, 'al־tiyr'iy
גַפְנִי, gafniy
וְהִשְׁאִיר, whiš'iyr
גַם־עֶדְרֵי, gam־ʕedrey
מְהֵרָה, mherah
הַשֶׁלַח, hašelaħ
הֹבִישׁוּ, hoviyš
עַל־עָסִיס, ʕal־ʕasiys
זִקְנֵיכֶם, ziqneyxem
אֶל־אֶרֶץ, 'el־'erec
אַחֵר, 'aħer
לִשְׁפֹּט, lišpoṭ
שָׁדָיִם, šadayim
וַאֲנִי, wa'aniy
לָהֶם, lahem
הָקִיצוּ, haqiyc
הַיֶלֶד, hayeled
הַיְוָנִים, haywaniym
וַיְקַנֵא, wayqane'
נֶגֶד, neged
מֵחֲמַס, meħamas
אֶת־פָּנָיו, 'et־panayw
יִצְהָר, yichar
יִדְחָקוּן, yidħaqn
וַיֹאמֶר, wayo'mer
חֵילָם, ħeylam
מִצִיוֹֹן, miciywon
גַם־תָמָר, gam־tamar
וְכַלָה, wxalah
וְצִידוֹֹן, wciydwon
שִׁכּוֹֹרִים, šikworiym
יָבוֹֹא, yavwo'
מִצְרַיִם, micrayim
מַחֲסֶה, maħaseh
מִן־הַמָקוֹֹם, min־hamaqwom
בַּחוֹֹמָה, baħwomah
וְגַם־פְּלֵיטָה, wgam־pleyṭah
בָשַׁל, vašal
וּבְבְכִי, vvxiy
גִילִי, giyliy
דְבַר־יְהוָה, dvar־yhwah
בְּכָל־לְבַבְכֶם, bxal־lvavxem
תְאֵנָה, t'enah
חָשֹׂף, ħasof
בְּאַרְצָם, b'arcam
וַיַחְמֹל, wayaħmol
אֱלֹהָי, 'elohay
בְּנֵיכֶם, bneyxem
עַל־עַמִי, ʕal־ʕamiy
מִזְבֵּחַ, mizbeħa
וַהֲשִׁבֹתִי, wahašivotiy
בֵּית, beyt
אֲפִיקֵי, 'afiyqey
וּשְׁמָמָה, šmamah
כָל־הַגוֹֹיִם, xal־hagwoyim
יָיִן, yayin
אֲהָה, 'ahah
יֶתֶר, yeter
יָחִילוּ, yaħiyl
יִרְגְזוּ, yirgz
הַנְחַת, hanħat
וּתְאֵנָתִי, t'enatiy
וְאֶת־בְּנוֹֹתֵיכֶם, w'et־bnwoteyxem
אֲשֶׁר־עָשָׂה, 'ašer־ʕasah
רָעֲשׁוּ, raʕaš
שִׁלַחְתִי, šilaħtiy
אַחֲרֵי־כֵן, 'aħarey־xen
הַגֶפֶן, hagefen
אֶקְרָא, 'eqra'
אֶת־הַמוֹֹרֶה, 'et־hamworeh
וְהִשְׁלִיךְ, whišliyx
הַשִׁטִים, hašiṭiym
וְהוֹֹרַדְתִים, whworadtiym
וְהַנוֹֹרָא, whanwora'
וְתַעַל, wtaʕal
רָגְזָה, ragzah
תַעֲרוֹֹג, taʕarwog
יִבְכּוּ, yivk
הוֹֹבִישָׁה, hwoviyšah
סוּסִים, ssiym
וְלֹא־אֶתֵן, wlo'־'eten
בַּיהוָה, bayhwah
אֵשֵׁב, 'ešev
אֵין, 'eyn
שִׂמְחָה, simħah
נָתַן, natan
וְאֶת־אַרְצִי, w'et־'arciy
וּבְנוֹֹתֵיכֶם, vnwoteyxem
כֹּתוּ, kot
לְמִדְבַּר, lmidbar
תֵלַכְנָה, telaxnah
הַחַלוֹֹנִים, haħalwoniym
וְיַעֲלוּ, wyaʕal
וְגַם־עַתָה, wgam־ʕatah
בַּבָּתִים, babatiym
חֵילוֹֹ, ħeylwo
בָּכֶם, baxem
וּבְנֵיכֶם, vneyxem
לְהַפְלִיא, lhafliy'
יְרוּצוּן, yrcn
כַּגַנָב, kaganav
עָלֶיהָ, ʕaleyha
אֹצָרוֹֹת, 'ocarwot
וְהַתִירוֹֹשׁ, whatiyrwoš
וַעֲרָפֶל, waʕarafel
עָשָׁן, ʕašan
לְשַׁמָה, lšamah
לָבִיא, laviy'
יָבֹאוּ, yavo'
דִבֵּר, diber
אֲשֶׁר־שָׁפְכוּ, 'ašer־šafx
תְלַהֵט, tlaheṭ
נְעוּרֶיהָ, nʕreyha
בְּיַד, byad
שִׁלְחוּ, šilħ
גֶשֶׁם, gešem
נִמְנַע, nimnaʕ
לַיוֹֹם, laywom
חֶזְיֹנוֹֹת, ħezyonwot
וּבָעֵת, vaʕet
וַיִשְׁתוּ, wayišt
חוֹֹמָה, ħwomah
דוֹֹר, dwor
גֶבֶר, gever
וּבְכוּ, vx
מֵחֶדְרוֹֹ, meħedrwo
וּבְצוֹֹם, vcwom
שָׂדַי, saday
דָם־נָקִיא, dam־naqiy'
דָמָם, damam
אַל־תִירְאוּ, 'al־tiyr'
וּכְפָרָשִׁים, xfarašiym
אַפַּיִם, 'apayim
חֵילִי, ħeyliy
כֹּרְמִים, kormiym
וְהָיְתָה, whaytah
יוֹֹדֵעַ, ywodeʕa
אֶת־שְׁבוּת, 'et־švt
דָשְׁאוּ, daš'
אֶל־יוֹֹאֵל, 'el־ywo'el
וְנִקְבָּצוּ, wniqbac
אָחִיו, 'aħiyw
שָׂשׂוֹֹן, saswon
בָּעִיר, baʕiyr
וּשְׂבַעְתֶם, svaʕtem
וְהֵשִׁיקוּ, whešiyq
יוֹֹשְׁבֵי, ywošvey
לַהַב, lahav
וְעַל־שְׂעֹרָה, wʕal־sʕorah
אֲבֹתֵיכֶם, 'avoteyxem
וְלֶהָבָה, wlehavah
וְנִקֵיתִי, wniqeytiy
עַל־רָאשֵׁי, ʕal־ra'šey
וְשִׁלַמְתִי, wšilamtiy
קָדְשִׁי, qadšiy
מְשַׁלְמִים, mšalmiym
קִרְאוּ־זֹאת, qir'־zo't
אֶת־בְּנֵיכֶם, 'et־bneyxem
אֲשֶׁר־כַּסְפִּי, 'ašer־kaspiy
אַרְיֵה, 'aryeh
עַד־שְׁנֵי, ʕad־šney
בָּרִאשׁוֹֹן, bari'šwon
אֶת־שֵׁם, 'et־šem
רִמוֹֹן, rimwon
אֹרְחוֹֹתָם, 'orħwotam
וַיַעַן, wayaʕan
גִילוּ, giyl
וְזָרִים, wzariym
וַאֲפֵלָה, wa'afelah
נָבֹכוּ, navox
הֶחָסִיל, heħasiyl
גוֹֹרָל, gworal
וַיוֹֹרֶד, waywored
אֶרֶץ, 'erec
הַטֹבִים, haṭoviym
לִשְׁבָאיִם, lišva'yim
מִן־הָעוֹֹלָם, min־haʕwolam
רָעָתָם, raʕatam
בַשַׂקִים, vasaqiym
בָאְשׁוֹֹ, va'šwo
שֻׁבוּ, šuv
עַל־כָּל־בָּשָׂר, ʕal־kal־basar
וְאַל־בִּגְדֵיכֶם, w'al־bigdeyxem
מִסְפָּר, mispar
אֶת־הַשָׁנִים, 'et־hašaniym
