list, Map1
יְהוָה, yhwah
יְהֹוָה, yhowah
יְהוָה, yhwah
אֲשֶׁר, 'ašer
הַכֹּהֵן, hakohen
לֹא, lo'
הוּא, hu'
הִוא, hiw'
לַיהוָה, layhwah
לַיהֹוָה, layhowah
אוֹֹ, 'wo
כִי, xiy
כִּי, kiy
לִפְנֵי, lifney
אֹתוֹֹ, 'otwo
אִתּוֹֹ, 'itwo
לָכֶם, laxem
אֲנִי, 'aniy
אָנִי, 'aniy
עָלָיו, ʕalayw
יִשְׂרָאֵל, yisra'el
לֵאמֹר, le'mor
לֵאמֹר, le'mor
אִתָּם, 'itam
אֹתָם, 'otam
אַתֶּם, 'atem
אַהֲרֹן, 'aharon
וְאֵת, w'et
אִישׁ, 'iyš
וַיְדַבֵּר, waydaber
מוֹֹעֵד, mwoʕed
אֶל־מֹשֶׁה, 'el־mošeh
בַיוֹֹם, vaywom
בַּיוֹֹם, baywom
בְּיוֹֹם, bywom
וְלֹא, wlo'
אִשֵׁה, 'išeh
אִשָׁה, 'išah
אִשֶׁה, 'išeh
בַמַיִם, vamayim
בְּמַיִם, bmayim
בַּמַיִם, bamayim
בַּמָיִם, bamayim
יִהְיֶה, yihyeh
מֹשֶׁה, mošeh
בְּנֵי, bney
קֹדֶשׁ, qodeš
קָדֹשׁ, qadoš
יָמִים, yamiym
אֵת, 'et
וְכִפֶּר, wxiper
וְכַפֵּר, wxaper
יִטְמָא, yiṭma'
יִטַמָא, yiṭama'
לוֹֹ, lwo
לוֹֹ, lwo
וְאִישׁ, w'iyš
שִׁבְעַת, šivʕat
עַד־הָעָרֶב, ʕad־haʕarev
עַד־הָעֶרֶב, ʕad־haʕerev
הַנֶגַע, hanegaʕ
הַנֹגֵעַ, hanogeʕa
הַנָגַע, hanagaʕ
אֶתְכֶם, 'etxem
אִתְּכֶם, 'itxem
אֱלֹהֵיכֶם, 'eloheyxem
כַּאֲשֶׁר, ka'ašer
אֹהֶל, 'ohel
עַל, ʕal
וְהִנֵה, whineh
אֹתָה, 'otah
אַתָּה, 'atah
הַמִזְבֵּחָה, hamizbeħah
וְאִם, w'im
טַמֵא, ṭame'
טָמֵא, ṭame'
הַחַטָאת, haħaṭa't
עַל־הַמִזְבֵּחַ, ʕal־hamizbeħa
וְטִמֵא, wṭime'
וְטָמֵא, wṭame'
עָלֶיהָ, ʕaleyha
