list, Map1
יְהוָה, yhwah
אֲשֶׁר, 'ašer
אָשֵׁר, 'ašer
יִשְׂרָאֵל, yisra'el
בְּנֵי, bney
בְנֵי, vney
מֹשֶׁה, mošeh
אֶחָד, 'eħad
וַיֹאמֶר, wayo'mer
וַיֹאמַר, wayo'mar
מִשְׁפְּחֹת, mišpħot
מִשְׁפַּחַת, mišpaħat
לֵאמֹר, le'mor
לֵאמֹר, le'mor
אֶל־מֹשֶׁה, 'el־mošeh
לֹא, lo'
כִּי, kiy
אֶלֶף, 'elef
אָלֶף, 'alef
לִפְנֵי, lifney
לְפָנַי, lfanay
אִישׁ, 'iyš
לַיהוָה, layhwah
הַכֹּהֵן, hakohen
לִבְנִי, livniy
לִבְנֵי, livney
וַיְדַבֵּר, waydaber
לָכֶם, laxem
אֹתוֹֹ, 'otwo
אִתוֹֹ, 'itwo
מוֹֹעֵד, mwoʕed
וַיִסְעוּ, wayisʕu
וַיִסָעוּ, wayisaʕu
אִתָם, 'itam
אֵתָם, 'etam
אֹתָם, 'otam
אַתֶם, 'atem
מֵאוֹֹת, me'wot
הוּא, hu'
הִוא, hiw'
וַיַחֲנוּ, wayaħanu
שָׁנִים, šaniym
שְׁנָיִם, šnayim
שְׁנַיִם, šnayim
שְׁנֵים, šneym
חֲמִשָׁה, ħamišah
אֵת, 'et
לְמִשְׁפְּחֹתָם, lmišpħotam
בְּנֵי־יִשְׂרָאֵל, bney־yisra'el
בְנֵי־יִשְׂרָאֵל, vney־yisra'el
שָׁנָה, šanah
לָהֶם, lahem
לָהֶם, lahem
אֵלֶה, 'eleh
בַּיוֹֹם, baywom
בְּיוֹֹם, bywom
לְמַטֶה, lmaṭeh
לַמַטֶה, lamaṭeh
לְמַטֵה, lmaṭeh
עָלָיו, ʕalayw
כַּאֲשֶׁר, ka'ašer
וְאֵת, w'et
וְאַתְ, w'at
וָמָעְלָה, wamaʕlah
וָמַעְלָה, wamaʕlah
וּמָעֲלָה, umaʕalah
אֹתָה, 'otah
אַתָה, 'atah
אֲבֹתָם, 'avotam
הָאָרֶץ, ha'aret͡s
וְלֹא, wlo'
עֶשֶׂר, ʕeser
עָשָׂר, ʕasar
לוֹֹ, lwo
לוֹֹ, lwo
לוּ, lu
אַחַת, 'aħat
הַזֶה, hazeh
הַזֵה, hazeh
בִּלְעָם, bilʕam
בִלְעָם, vilʕam
לְבֵית, lveyt
הָעָם, haʕam
מוֹֹאָב, mwo'av
דִבֶּר, diber
דַבֵּר, daber
דֹבֵר, dover
דָבָר, davar
דִבֵּר, diber
אַהֲרֹן, 'aharon
כְּבָשִׂים, kvasiym
כְבָשִׂים, xvasiym
צִוָּה, t͡siuah
צֻוָּה, t͡suuah
כֹּל, kol
בַשֶׁמֶן, vašemen
בַשָׁמֶן, vašamen
בַּשֶׁמֶן, bašemen
בְּשֶׁמֶן, bšemen
בַּשָׁמֶן, bašamen
סֹלֶת, solet
בָלָק, valaq
בָּלָק, balaq
יִהְיֶה, yihyeh
בְּנֵי־שָׁנָה, bney־šanah
מִבֶּן, miben
אוֹֹ, 'wo
בַּמִדְבָּר, bamidbar
בְּמִדְבַּר, bmidbar
מַטֵה, maṭeh
מַטֶה, maṭeh
הַקֹדֶשׁ, haqodeš
וְאַהֲרֹן, w'aharon
לְךָ, lxa
לֵךְ, lex
לָךְ, lax
זֶה, zeh
זֶה, zeh
בְּלוּלָה, blulah
עֶשְׂרִים, ʕesriym
בָּאֹהֶל, ba'ohel
בְּאֹהֶל, b'ohel
שְׁלֹשִׁים, šlošiym
אֶת־מֹשֶׁה, 'et־mošeh
אֹהֶל, 'ohel
אֶת־הָאָרֶץ, 'et־ha'aret͡s
נָשִׂיא, nasiy'
נְשִׂיא, nsiy'
הָעֵדָה, haʕedah
וַיֹאמְרוּ, wayo'mru
אֵלָיו, 'elayw
הַהִוא, hahiw'
הַהוּא, hahu'
אֵילִם, 'eylim
עֲשָׂרָה, ʕasarah
עֶשְׂרֵה, ʕesreh
פְּקֻדֵיהֶם, pqudeyhem
פְקֻדֵיהֶם, fqudeyhem
כֵּן, ken
יָמִים, yamiym
כֶּסֶף, kesef
בְּמִסְפַּר, bmispar
לִי, liy
לִי, liy
עַל, ʕal
עֹל, ʕol
פָּר, par
פַּר, par
מְאַת, m'at
מֵאֵת, me'et
והיה, whyh
וְהָיָה, whayah
צָבָא, t͡sava'
הָאֶחָד, ha'eħad
וַיִהְיוּ, wayihyu
וְיִהְיוּ, wyihyu
יוֹֹם, ywom
עַל־פִּי, ʕal־piy
וַחֲמִשִׁים, waħamišiym
כָל־הָעֵדָה, xal־haʕedah
כָּל־הָעֵדָה, kal־haʕedah
תַעֲשׂוּ, taʕasu
תַעֲשׂוּ, taʕasu
זֹאת, zo't
וַחֲמֵשׁ, waħameš
בֶן־בָּקָר, ven־baqar
בֶּן־בָּקָר, ben־baqar
הַתָמִיד, hatamiyd
בְּשֶׁקֶל, bšeqel
אֵיל, 'eyl
אַיִל, 'ayil
אֲלֵהֶם, 'alehem
וּנְשִׂיא, unsiy'
וְנָשִׂיא, wnasiy'
רְאוּבֵן, r'uven
לְחַטָאת, lħaṭa't
וַיִקַח, wayiqaħ
אֶל־בְּנֵי, 'el־bney
חַטָאת, ħaṭa't
חַטַאת, ħaṭa't
אֶל־בִּלְעָם, 'el־bilʕam
וּבְיוֹֹם, uvywom
וּבַיוֹֹם, uvaywom
לְצִבְאֹתָם, lt͡siv'otam
וַיְהִי, wayhiy
הַמִשְׁכָּן, hamiškan
בָּה, bah
בָה, vah
הַלְוִיִם, halwiyim
קְטֹרֶת, qṭoret
שֵׁמוֹֹת, šemwot
שְׁמוֹֹת, šmwot
בְּקַר, bqar
בָּקָר, baqar
בֹּקֶר, boqer
אַלְפַּיִם, 'alpayim
אֲלָפִים, 'alafiym
הָאָלָה, ha'alah
הָאֵלֶה, ha'eleh
לָעֹלָה, laʕolah
לְעֹלָה, lʕolah
אִתְכֶם, 'itxem
אֶתְכֶם, 'etxem
וּשְׁלֹשִׁים, ušlošiym
וּשְׁלִשִׁים, ušlišiym
וְהָיוּ, whayu
פָרִים, fariym
פָּרִים, pariym
תְמִימִם, tmiymim
תְמִימִם, tmiymim
בְּתוֹֹךְ, btwox
בַּתָוֶךְ, batawex
וּמֵאָה, ume'ah
עֲלֵיהֶם, ʕaleyhem
שָׁם, šam
שֵׁם, šem
אַרְבָּעָה, 'arbaʕah
זָהָב, zahav
עֶשְׂרֹנִים, ʕesroniym
אִשֵׁה, 'išeh
אִשָׁה, 'išah
אִשֶׁה, 'išeh
מִלְבַד, milvad
בֶּן־שְׁנָתוֹֹ, ben־šnatwo
יַחֲנוּ, yaħanu
שְׁנֵיהֶם, šneyhem
שִׁנֵיהֶם, šineyhem
יֵצֵא, yet͡se'
יָצָא, yat͡sa'
יֹצֵא, yot͡se'
אֶלְעָזָר, 'elʕazar
לְמַחֲנֵה, lmaħaneh
לַמַחֲנֶה, lamaħaneh
אֲנִי, 'aniy
הֶעָנָן, heʕanan
עֹלַת, ʕolat
לַלְוִיִם, lalwiyim
אֶת־הַלְוִיִם, 'et־halwiyim
שִׁבְעִים, šivʕiym
מִתוֹֹךְ, mitwox
שְׁבֻעָה, švuʕah
שִׁבְעָה, šivʕah
הַשְׁלָמִים, hašlamiym
שִׁבְעַת, šivʕat
עֹלָה, ʕolah
עָלֹה, ʕaloh
עֲלֵה, ʕaleh
שֶׁקֶל, šeqel
שָׁקֶל, šaqel
אֹתְךָ, 'otxa
אִתְךָ, 'itxa
אִתָךְ, 'itax
אֹתָךְ, 'otax
וְאָמַרְתָ, w'amarta
וַיֵשֶׁב, wayešev
וְיָשֹׁב, wyašov
וַיִשְׁבְּ, wayišb
וַיָשָׁב, wayašav
וְיָשַׁב, wyašav
הָהָר, hahar
שְׂעִיר־עִזִים, sʕiyr־ʕiziym
וַיָמֹת, wayamot
וַיָמָת, wayamat
לַצָבָא, lat͡sava'
לִצְבֹא, lit͡svo'
וּפְקֻדֵיהֶם, ufqudeyhem
הַשְׁבִיעִי, hašviyʕiy
תַחַת, taħat
מִצְרַיִם, mit͡srayim
מִצְרָיִם, mit͡srayim
קָרְבַּן, qarban
מֵי, mey
מִי, miy
שְׁלֹשָׁה, šlošah
מְנַשֶׁה, mnašeh
וְהִנֵה, whineh
לַעֲבֹד, laʕavod
הָאֲנָשִׁים, ha'anašiym
הֵם, hem
וְכֹל, wxol
קָרְבָּנוֹֹ, qarbanwo
בְּיִשְׂרָאֵל, byisra'el
כְּנַעַן, knaʕan
כְּנָעַן, knaʕan
מְלֵאִים, mle'iym
בְּאֶרֶץ, b'eret͡s
בָּאָרֶץ, ba'aret͡s
יִסָעוּ, yisaʕu
יִסְעוּ, yisʕu
וַיָבֹאוּ, wayavo'u
וַיָבִאוּ, wayavi'u
כֶּבֶשׂ־אֶחָד, keves־'eħad
לְמִנְחָה, lminħah
תוֹֹלְדֹתָם, twoldotam
וְנִסְכֵּיהֶם, wniskeyhem
מִזְרָק, mizraq
אֶל־הָאָרֶץ, 'el־ha'aret͡s
קַעֲרַת־כֶּסֶף, qaʕarat־kesef
מְלֵאָה, mle'ah
מֵעַל, meʕal
מָעַל, maʕal
מַעַל, maʕal
יֵעָשֶׂה, yeʕaseh
יַעֲשֶׂה, yaʕaseh
אוֹֹתָם, 'wotam
וּמִנְחָתָם, uminħatam
כָל־זָכָר, xal־zaxar
כָּל־זָכָר, kal־zaxar
וּצְבָאוֹֹ, ut͡sva'wo
נִיחֹחַ, niyħoħa
מִשְׁקָלָה, mišqalah
אֶת־הָעָם, 'et־haʕam
הַקָרֹב, haqarov
הַקָרֵב, haqarev
הַקְרֵב, haqrev
הִקְרִב, hiqriv
הַקְרִב, haqriv
לֵוִי, lewiy
וַיִשְׁלַח, wayišlaħ
וַיְשַׁלַח, wayšalaħ
וּבְנֵי, uvney
הַזֹאת, hazo't
הִנֵה, hineh
הֵנָה, henah
וַיֵרָא, wayera'
וַיַרְא, wayar'
בֵּין, beyn
וְאֶל־אַהֲרֹן, w'el־'aharon
כָּל־בְּכוֹֹר, kal־bxwor
כָל־בְּכוֹֹר, xal־bxwor
מִשְׁמֶרֶת, mišmeret
אֶת־בְּנֵי, 'et־bney
וְאַרְבַּע, w'arbaʕ
כַּף, kaf
בִּן־נוּן, bin־nun
תִתְנוּ, titnu
תִתֵנוּ, titenu
עַתֻדִים, ʕatudiym
וּלְזֶבַח, ulzevaħ
הַהִין, hahiyn
מְאֹד, m'od
סִינָי, siynay
סִינַי, siynay
לַחֹדֶשׁ, laħodeš
אַרְבָּעִים, 'arbaʕiym
נִזְרוֹֹ, nizrwo
וַיִתֵן, wayiten
אֶת־עֲבֹדַת, 'et־ʕavodat
מִמִצְרָיִם, mimit͡srayim
מִמִצְרַיִם, mimit͡srayim
בְּיַד־מֹשֶׁה, byad־mošeh
וְאֵלֶה, w'eleh
אִישָׁה, 'iyšah
וַיָבֹא, wayavo'
פְּקֹד, pqod
פֹּקֵד, poqed
פָּקַד, paqad
וּמָאתַיִם, uma'tayim
וּמָאתָיִם, uma'tayim
וַיִשְׁמַע, wayišmaʕ
אֵלֶיךָ, 'eleyxa
וְשִׁבְעִים, wšivʕiym
יִהְיוּ, yihyu
מִמֶנוּ, mimenu
יְהוּדָה, yhudah
מַיִם, mayim
מָיִם, mayim
מְרָרִי, mrariy
תַעֲשֶׂה, taʕaseh
תַעֲשֶׂה, taʕaseh
לָאַיִל, la'ayil
לָאָיִל, la'ayil
פֶּתַח, petaħ
וְאַרְבָּעִים, w'arbaʕiym
לַכֶּבֶשׂ, lakeves
וְשָׁם, wšam
וְשֵׁם, wšem
גָד, gad
גָד, gad
עָשׂוּ, ʕasu
עֲשׂוּ, ʕasu
יוּמָת, yumat
יוּמַת, yumat
עֲלֵי, ʕaley
עֲלִי, ʕaliy
עָלָי, ʕalay
עָלַי, ʕalay
בִנְיָמִן, vinyamin
בִּנְיָמִן, binyamin
נַפְתָלִי, naftaliy
רֹאשׁ, ro'š
וַיֹצֵא, wayot͡se'
וַיֵצֵא, wayet͡se'
וְיָצָא, wyat͡sa'
שִׁמְעוֹֹן, šimʕwon
הַשֵׁנִי, hašeniy
דָרַךְ, darax
דֶרֶךְ, derex
