list, Map1
יְהוָה, yhwah
יְהֹוָה, yhowah
לא, l'
לֹא, lo'
כִּי, kiy
רְשָׁעִים, ršaʕiym
צַדִיק, cadiyq
רֶשַׁע, rešaʕ
רָשָׁע, rašaʕ
אָדָם, 'adam
אִישׁ, 'iyš
חָכְמָה, ħaxmah
טוֹֹב, ṭwov
חָכָם, ħaxam
חֲכַם, ħaxam
מוּסָר, msar
מוּסַר, msar
חַיִים, ħayiym
רָע, raʕ
רַע, raʕ
רָע, raʕ
בְּנִי, bniy
בְנִי, vniy
בְּנֵי, bney
נַפְשׁוֹֹ, nafšwo
צַדִיקִים, cadiyqiym
כְּסִיל, ksiyl
כְסִיל, xsiyl
לֵב, lev
לֵב, lev
רָעָה, raʕah
רֹעָה, roʕah
לוֹֹ, lwo
לוֹֹ, lwo
אִוֶּלֶת, 'ielet
לִבֶּךָ, libexa
לִבְּךָ, libxa
וָאָיִן, wa'ayin
וְאֵין, w'eyn
וָאַיִן, wa'ayin
כְּסִילִים, ksiyliym
כְסִילִים, xsiyliym
הוּא, h'
דָעַת, daʕat
דַעַת, daʕat
דָעַת, daʕat
וְאִישׁ, w'iyš
תוֹֹעֲבַת, twoʕavat
תוֹֹעֲבַת, twoʕavat
דָרֶךְ, darex
דֶרֶךְ, derex
יְשָׁרִים, yšariym
חֲכָמִים, ħaxamiym
בַּדֶרֶךְ, baderex
בְּדֶרֶךְ, bderex
בַּדָרֶךְ, badarex
אֵהָב, 'ehav
אֹהֵב, 'ohev
מֶלֶךְ, melex
לְךָ, lxa
לֵךְ, lex
לְךָ, lxa
לָךְ, lax
לָךְ, lax
עָצֵל, ʕacel
בְעֵינָיו, vʕeynayw
בְּעֵינָיו, bʕeynayw
מִשְׁפָּט, mišpaṭ
דְבָרַי, dvaray
דִבְרֵי, divrey
כֵּן, ken
נָפֶשׁ, nafeš
נֶפֶשׁ, nefeš
בַּיוֹֹם, baywom
בְּיוֹֹם, bywom
שְׁמֹר, šmor
שֹׁמֵר, šomer
הוֹֹלֵךְ, hwolex
אָף, 'af
אַף, 'af
עֹשֵׂה, ʕoseh
עֲשֹׂה, ʕasoh
עָשֹׂה, ʕasoh
עֹשֶׂה, ʕoseh
עָשָׂה, ʕasah
עֲשֵׂה, ʕaseh
יִתֵן, yiten
בֵּן, ben
עַד, ʕad
עֵד, ʕed
וָדָעַת, wadaʕat
