list, Map1
וַתֹּאמֶר, wato'mer
וַיֹאמֶר, wayo'mer
וַיֹאמַר, wayo'mar
כִּי, kiy
אֲשֶׁר, 'ašer
נָעֳמִי, naʕamiy
בֹּעַז, boʕaz
בֹעַז, voʕaz
יְהוָה, yhwah
לִי, liy
לִי, liy
אֵת, 'et
אָתְּ, 'at
אַתְּ, 'at
הוֹֹלִיד, hwoliyd
בִתִּי, vitiy
בִּתִּי, bitiy
לֶחֶם, leħem
לָחֶם, laħem
לָה, lah
לָה, lah
וִיהִי, wiyhiy
וַיְהִי, wayhiy
רוּת, rut
מוֹֹאָב, mwo'av
הָאִישׁ, ha'iyš
בִּשְׂדֵה, bisdeh
בַּשָׂדֶה, basadeh
בְּשָׂדֶה, bsadeh
הַיוֹֹם, haywom
לְךָ, lxa
לָךְ, lax
גְּאָל, g'al
גֹאֵל, go'el
גֹּאֵל, go'el
וְשָׁם, wšam
וְשֵׁם, wšem
לֹא, lo'
אַחֲרֵי, 'aħarey
שֵׁם, šem
שָׁם, šam
וְגַם, wgam
אִישׁ, 'iyš
וַתָּשָׁב, watašav
וַתֵּשֶׁב, watešev
אָנֹכִי, 'anoxiy
לְאִישׁ, l'iyš
לָאִישׁ, la'iyš
הַלָיְלָה, halaylah
הַלַיְלָה, halaylah
הַמוֹֹאֲבִיָה, hamwo'aviyah
הַשָׂדֶה, hasadeh
בֵּית, beyt
אֱלִימֶלֶךְ, 'eliymelex
אֱלִימֶלֶךְ, 'eliymelex
עַד, ʕad
וַתָּבוֹֹא, watavwo'
עַמִי, ʕamiy
עִמִי, ʕimiy
חֲמוֹֹתָה, ħamwotah
הִיא, hiy'
הוּא, hu'
הַגֹּרֶן, hagoren
אֵלֶיהָ, 'eleyha
מִבֵּית, mibeyt
בָּרוּךְ, barux
וַיָבֹא, wayavo'
הַשָׁבָה, hašavah
יְהוּדָה, yhudah
יִתֵּן, yiten
שֵׁם־הַמֵת, šem־hamet
כֹּל, kol
וְעַתָּה, wʕatah
אַחֵר, 'aħer
אַחַר, 'aħar
לֵאמֹר, le'mor
בְּיִשְׂרָאֵל, byisra'el
אָתָּה, 'atah
