list, Map1
דוֹֹדִי, dwodiy
דוֹֹדִי, dwodiy
אֲנִי, 'aniy
אָנִי, 'aniy
לִי, liy
לִי, liy
רַעְיָתִי, raɣyatiy
יָפֶה, yafeh
יָפָה, yafah
בָנוֹֹת, vanwot
בְּנוֹֹת, bnwot
נַפְשִׁי, nafšiy
יְרוּשָׁלָם, yršalam
יְרוּשָׁלַם, yršalam
אַהֲבָה, 'ahavah
עַד, ɣad
כַּלָה, kalah
כַלָה, xalah
לְךָ, lxa
לָךְ, lax
אֲחֹתִי, 'aħotiy
לוֹֹ, lwo
אֵין, 'eyn
אֵת, 'et
אַתְ, 'at
שֶׁאָהֲבָה, še'ahavah
שַׁלָמָה, šalamah
שְׁלֹמֹה, šlomoh
הִנָךְ, hinax
הִנְךָ, hinxa
לְדוֹֹדִי, ldwodiy
אוֹֹ, 'wo
הִיא, hiy'
וְלֹא, wlo'
עֵינַיִךְ, ɣeynayix
תַחַת, taħat
עֹבֵר, ɣover
עָבָר, ɣavar
אֶתְכֶם, 'etxem
עִם, ɣim
לֹא, lo'
דֹדֶיךָ, dodeyxa
דֹדַיִךְ, dodayix
דֹדֶיךָ, dodeyxa
עַל, ɣal
אֶת־הָאַהֲבָה, 'et־ha'ahavah
בַּשׁוֹֹשַׁנִים, bašwošaniym
בַּשׁוֹֹשַׁנִים, bašwošaniym
מִיַיִן, miyayin
מִיָיִן, miyayin
שׁוּבִי, šviy
בֵּין, beyn
כְּעֵדֶר, kɣeder
אִמִי, 'imiy
הִשְׁבַּעְתִי, hišbaɣtiy
וְרֵיחַ, wreyħa
זָהָב, zahav
לְעֹפֶר, lɣofer
כְּמִגְדַל, kmigdal
הַיָפָה, hayafah
כָּסֶף, kasef
כֶסֶף, xesef
זֹאת, zo't
שָׁדַיִךְ, šadayix
הַשָׂדֶה, haSadeh
מַיִם, mayim
מָיִם, mayim
נָאוֶה, na'weh
נָאוָה, na'wah
הַגֶפֶן, hagefen
לִצְבִי, liṣviy
אֶל־בֵּית, 'el־beyt
לְצַמָתֵךְ, lṣamatex
צַוָּארֵךְ, ṣaa'rex
מִבַּעַד, mibaɣad
בָעִיר, vaɣiyr
בָּעִיר, baɣiyr
יוֹֹנָתִי, ywonatiy
מוֹֹר, mwor
בַּנָשִׁים, banašiym
שֶׁתֶחְפָּץ, šeteħpaṣ
מִי, miy
אִישׁ, 'iyš
הָאַיָלִים, ha'ayaliym
כֵּן, ken
כַּרְמִי, karmiy
כָּרְמִי, karmiy
תַמָתִי, tamatiy
נָעוּל, naɣl
קוּמִי, qmiy
הַשֹׁמְרִים, hašomriym
יָבִא, yavi'
יָבֹא, yavo'
בְּאַיְלוֹֹת, b'aylwot
שֶׁעָלוּ, šeɣal
וְאִם־תְעוֹֹרְרוּ, w'im־tɣworr
אַשְׁקְךָ, 'ašqxa
אֶשָׁקְךָ, 'ešaqxa
אָנָה, 'anah
יוֹֹנִים, ywoniym
מֵרֹאשׁ, mero'š
שִׁשִׁים, šišiym
שׁוּעָלִים, šɣaliym
כְּפֶלַח, kfelaħ
בִּצְבָאוֹֹת, biṣva'wot
הַשְׁמִיעִינִי, hašmiyɣiyniy
אַפֵּךְ, 'apex
רֹאשֵׁךְ, ro'šex
מַתְאִימוֹֹת, mat'iymwot
בָּהֶם, bahem
סְמָדַר, smadar
רַקָתֵךְ, raqatex
הָרִמוֹֹן, harimwon
בְשָׂמִים, vSamiym
וְדוֹֹדִי, wdwodiy
אַחַת, 'aħat
עָשָׂה, ɣaSah
פְּרִי, priy
אֵיכָה, 'eyxah
וְנָסוּ, wnas
בָּרָה, barah
שִׁנַיִךְ, šinayix
כַּנִדְגָלוֹֹת, kanidgalwot
וּלְכִי־לָךְ, lxiy־lax
מְצָאתִיו, mṣa'tiyw
שֶׁיָפוּחַ, šeyafħa
בִּקַשְׁתִיו, biqaštiyw
לִשְׁלֹמֹה, lišlomoh
עֳפָרִים, ɣafariym
שְׁמָנֶיךָ, šmaneyxa
שְׁמָנַיִךְ, šmanayix
מְלָכוֹֹת, mlaxwot
מְלָכוֹֹת, mlaxwot
לְגַנוֹֹ, lganwo
מַעְיַן, maɣyan
מַעְיָן, maɣyan
אִם־תָעִירוּ, 'im־taɣiyr
נָתַן, natan
כִּשְׁנֵי, kišney
