list, Map1
., .
, 
/, /
—, —
פרויקט, frwyqṭ
בן-יהודה, vn-yhwdh
אֶת, 'et
את, 't
אַתְּ, 'at
מה, mh
מָה, mah
שלח, שlħ
דואל:, dw'l:
הרשת, hrשt
È, È
של, שl
–, –
כִי, xiy
כִּי, kiy
כי, xy
אֲשֶׁר, 'ašer
לְךָ, lxa
לך, lx
כל, xl
כָּל, kal
כָל, xal
כמה, xmh
כַּמָה, kamah
או, 'w
אוֹֹ, 'wo
לָנוּ, lanu
לנו, lnw
ב-YouTube, v-YouTube
תיקון., tyqwn.
כשנעיין, xשnʕyyn
הטקסט., hṭqsṭ.
בדואל, vdw'l
בהגהות, vhghwt
לתוכן, ltwxn
_ספר/י, _sfr/y
כאן, x'n
זכרו, zxrw
פסקה,, fsqh,
סביב, svyv
המלצות, hmlt͡swt
הגהות:, hghwt:
אהבת!, 'hvt!
זקוק, zqwq
רשימת, rשymt
בפייסבוק, vfyysvwq
הענינים, hʕnynym
שגיאה,, שgy'h,
למצוא, lmt͡sw'
מלים, mlym
לשמוע, lשmwʕ
_נשמע, _nשmʕ
משמעות, mשmʕwt
הטעון, hṭʕwn
רציף, rt͡syf
לעזרתכם., lʕzrtxm.
בן-יהודה:, vn-yhwdh:
לפרטים., lfrṭym.
שאין, ש'yn
נודיע, nwdyʕ
כדי, xdy
(אנו, ('nw
ציינו, t͡syynw
באינטרנט., v'ynṭrnṭ.
ונתקן, wntqn
ביומן, vywmn
אנא, 'n'
למספרי, lmsfry
מספר, msfr
שורה, שwrh
ו/או, w/'w
שלך:, שlx:
העתיקו, hʕtyqw
עלינו, ʕlynw
שלנו), שlnw)
להקל, lhql
בטקסט, vṭqsṭ
יומן, ywmn
לחצו, lħt͡sw
עמוד, ʕmwd
|, |
שגוי, שgwy
מפרסמים, mfrsmym
ההמלצה, hhmlt͡sh
עֲלֵי, ʕaley
עלי, ʕly
עָלַי, ʕalay
וְלֹא, wlo'
עַל, ʕal
על, ʕl
לֹא, lo'
כמו, xmw
כְּמוֹֹ, kmwo
הראשי, hr'שy
לדף, ldf
שלמה, שlmh
שְׁלֹמֹה, šlomoh
אֶבֶן, 'even
אבן, 'vn
גבירול, gvyrwl
לְבָבִי, lvaviy
כְּאִלוּ, k'ilu
כִּאִלוּ, ki'ilu
כּאִלוּ, k'ilu
אַל, 'al
אֵל, 'el
אֶל, 'el
אל, 'l
עֲדִי, ʕadiy
עֲדֵי, ʕadey
עֵדַי, ʕeday
עָדַי, ʕaday
וְגַם, wgam
עֵת, ʕet
עת, ʕt
מְאֹד, m'od
אֵלַי, 'elay
אֱלֵי, 'eley
אלי, 'ly
אִם, 'im
שֶׁמֶש, šemeש
שמש, שmש
שֶׁמֶשׁ, šemeš
לְמַעַן, lmaʕan
‑, ‑
בְּעֵת, bʕet
בעת, vʕt
עַד, ʕad
/È, /È
אֲזַי, 'azay
לו, lw
לוּ, lu
לִי, liy
וְאִם, w'im
שִׁיר, šiyr
שיר, שyr
וְאֵיךְ, w'eyx
בָּה, bah
בָה, vah
עוֹֹד, ʕwod
פְּנֵי, pney
כֻּלָה, kulah
כֻּלָה, kulah
כַלָה, xalah
כָּלָה, kalah
