word, trans
ዘለዎ’የ, zäläwo’yä
ንስኻትኩም, nsKatkum
ደምን, dämn
ሓያላት, ħayalat
ናባይ, nabay
ኪብል, kibl
ክኸውን, kKäwn
ሰይመ, säymä
ንመስዋእቲ, nmäswa'ti
ጽዮን, ṣyon
ሶርያ, sorya
ንሰማማዕ, nsämamaʕ
ኣባጊዕ, 'abagiʕ
ጎሪሑ, goriħu
ከተማታት, kätämatat
ስሙ, smu
ሙግራሕ, mugraħ
ዓመጻ, ʕamäṣa
ኣስመራ, 'asmära
ዝነውነዎ, znäwnäwo
ሰናዶይ, sänadoy
ውቁጥ, wquT
ዜብሎም, zeblom
ህዝበይ, hzbäy
ፍግም, fgm
ወዱ, wädu
ስብከት, sbkät
ኣምላኽ, 'amlaK
እዮም, 'yom
መዝገብ, mäzgäb
ተረፍ, täräf
ብሪ, bri
ነባዒት, näbaʕit
ኣፍወርቂ, 'afwärqi
ይወጽእ, ywäṣ'
ሓንቲ, ħanti
መጠን, mäTän
ዘዝመጻ, zäzmäṣa
ኪዱ, kidu
ኸለዉ, Käläwu
ብሩር, brur
ሞት, mot
ብኢድ, b'id
ናይሎን, naylon
ከምኡ, käm'u
ብልዒ, blʕi
ኢለካ, 'iläka
ስምካ, smka
ሓሳብ, ħasab
ምርኮ, mrko
ጠሊ, Täli
ፍቕራ, fQra
ሕጻን, ħṣan
ድሙቕ, dmuQ
መንደቕ, mändäQ
ስኒ, sni
ገይረ, gäyrä
ምላሽ, mlaš
ርጉም, rgum
ስግር, sgr
ሰይጣን, säyTan
ካብታ, kabta
ጩራ, Čura
ብዓብዪ, bʕabyi
ንእሽቶይ, n'štoy
ሰደደ, sädädä
ብኣካል, b'akal
ኢደይ, 'idäy
ንነፍሰይ, nnäfsäy
እኽለ, 'Klä
ለይቲ, läyti
ኣፍ, 'af
ብመገዲ, bmägädi
ዝዀኑ, zkʷänu
ኣቦታትና, 'abotatna
ማይ, may
ምሳኻ, msaKa
ዘይቲ, zäyti
ጐይታ, gʷäyta
ኣምላኽና, 'amlaKna
ፈትየ, fätyä
ቓላት, Qalat
ህዝባ, hzba
ሓሸውሸዋ, ħašäwšäwa
በለለይ, bäläläy
ክዳን, kdan
እንታይ, 'ntay
መንግስቲ, mängsti
ኤርምያስ, 'ermyas
ቦታ, bota
ርኽሰት, rKsät
ተኸደና, täKädäna
ድሕሪ, dħri
ገንሸል, gänšäl
ካብቲ, kabti
ኸረን, Kärän
ጃልባ, ǧalba
ሰማይ, sämay
ኣጽዋር, 'aṣwar
ዘትሓትት, zätħatt
ኣስሚር, 'asmir
በልዎ, bälwo
ሰብ, säb
ትግርኛ, tgrña
ትፈልጥ, tfälT
በሎም, bälom
እንተ, 'ntä
ውሰድ, wsäd
ኻብ, Kab
ትእዛዛት, t'zazat
ዝኣመነካ, z'amänäka
ከላ, käla
ስለምንታይከ, slämntaykä
ሃገራት, hagärat
ዓለም, ʕaläm
መጀመርታ, mäǧämärta
ጊልዓድ, gilʕad
ዓለባ, ʕaläba
እየ, 'yä
ዘይትን, zäytn
ኣባይ, 'abay
ንኸተማ, nKätäma
ብብዙሕ, bbzuħ
ቅናት, qnat
ጠባይ, Täbay
ጾር, ṣor
ታቦት, tabot
ግብሩ, gbru
ንኣሮንን, n'aronn
ኣጋጣሚ, 'agaTami
ዒላም, ʕilam
ዘይጸናዒት, zäyṣänaʕit
እብል, 'bl
ኣርሒቐ, 'arħiQä
ኣዒንተይ, 'aʕintäy
ንውግእ, nwg'
ርኹስ, rKus
ርባ, rba
ገርሁ, gärhu
ሓምሳን, ħamsan
ንህዝበይ, nhzbäy
ኪኸይድ, kiKäyd
የሁ, yähu
ነዌ, näwe
ሓለውቲ, ħaläwti
ሳኦል, sa'ol
ወይ, wäy
ሪአኪ, ri'äki
ዝዀነ, zkʷänä
ምስ’ዚ, ms’zi
ደቁን, däqun
ከኣ, kä'a
ተቐየረ, täQäyärä
ከአ, kä'ä
ርእሲ, r'si
እስራኤልን, 'sra'eln
ሲቃል, siqal
ኣማራጽ, 'amaraṣ
ሾብዓተ, šobʕatä
ኢሉኒ, 'iluni
ኣኽራን, 'aKran
ልሳን, lsan
ልሙድ, lmud
ባህ, bah
ብስጋ, bsga
እናጠዓሞ, 'naTäʕamo
መንገሻ, mängäša
ንዳዊት, ndawit
ግራት, grat
ሰማይን, sämayn
ንግሆ, ngho
ትእምርቲ, t'mrti
ስኒት, snit
ኣብቶም, 'abtom
ፍርዲ, frdi
ሓራ, ħara
ከናፍር, känafr
ያሬድ, yared
ርእሰይ, r'säy
ዝፋን, zfan
ተንሲኦም, tänsi'om
ጸጋ, ṣäga
ኣምሪሐ, 'amriħä
ደጋፍ, dägaf
እመነሉ, 'mänälu
ናብዛ, nabza
ደቢኑ, däbinu
ደርጊ, därgi
ካብ, kab
የብልክን, yäblkn
ጎደሎ, godälo
ደየቡ, däyäbu
ፍቓድ, fQad
ኻህናት, Kahnat
ዘይከሓድ, zäykäħad
ጣኦታት, Ta'otat
ርስቲ, rsti
ዝነበረ’የ, znäbärä’yä
ቓል, Qal
ዓሰርተ, ʕasärtä
ኣብልባ, 'ablba
ከይዶም, käydom
ኸም, Käm
ጥበበኛ, Tbäbäña
ንሓድሕዶም, nħadħdom
ደሓን, däħan
ይኩን, ykun
ንሰብ, nsäb
ይዝከረኒ, yzkäräni
እናሃብኩ, 'nahabku
ዘይብሉ, zäyblu
ኣሮንን, 'aronn
ግንባራ, gnbara
ተለወጠ, täläwäTä
ኣገልግሎት, 'agälglot
ገጾም, gäṣom
ኮይኑ, koynu
ሎምስ, loms
ክዳውንቱ, kdawntu
ተቖጻጸ, täQoṣaṣä
ወዲ, wädi
ንነፍሲ, nnäfsi
ዓዲ, ʕadi
መጽሓፍ, mäṣħaf
ምሕረቱ, mħrätu
ደንጉየ, dänguyä
ክመኽረካ, kmäKräka
እንተሎ, 'ntälo
ሽፎን, šfon
ደቡብ, däbub
ይኸይድ, yKäyd
ግዳ, gda
ንህዝቡ, nhzbu
ክንዳኡ, knda'u
ካብኣ, kab'a
ተኣምራት, tä'amrat
ዘካርያስ, zäkaryas
ደአ, dä'ä
ማሕበር, maħbär
ዓይነት, ʕaynät
ፍልጠት, flTät
ክነግረካ, knägräka
ግበሮ, gbäro
እዚውን, 'ziwn
መንግስቱ, mängstu
ምሸት, mšät
መጺኦም, mäṣi'om
ወይኒ, wäyni
ካባታቶም, kabatatom
ዝመጹ, zmäṣu
ም, m
ኣምላኽሲ, 'amlaKsi
ጽቡቕ, ṣbuQ
ስምዓኒ, smʕani
ብእግዚኣብሄር, b'gzi'abher
መለሰሉ, mäläsälu
ንዚሐርር, nziħärr
እምነቱ, 'mnätu
ዮናታን, yonatan
ነገስት, nägäst
ኣቦታቱ, 'abotatu
ጕድጓድ, gʷdgʷad
ይበርህ, ybärh
ዝተሸርበት, ztäšärbät
ምፍታው, mftaw
ኰነ, kʷänä
ምስጋና, msgana
ዝስሙ, zsmu
ክትጥለም, ktTläm
ጎይትኦም, goyt'om
ዕረ, ʕrä
ፍቕሪ, fQri
መዓልቲ, mäʕalti
ዝሑው, zħuw
ንእግዚኣብሄር, n'gzi'abher
ብሄራት, bherat
ብርግጽ, brgṣ
ሹም, šum
ናትካ, natka
ኻብቲ, Kabti
ነገሮ, nägäro
መለኸት, mäläKät
ምሉእ, mlu'
ዘሎኹም, zäloKum
ሕጅስ, ħǧs
ገበሮ, gäbäro
ዮሳፋጥ, yosafaT
ተጽሒፉ, täṣħifu
ሳኦልን, sa'oln
ነብያት, näbyat
ብምኻድ, bmKad
ይኹን, yKun
ዓሰርተው, ʕasärtäw
ሊቀ, liqä
ሓላል, ħalal
ገዛይ, gäzay
ሓዉ, ħawu
የሩሳሌም, yärusalem
ሓለቓ, ħaläQa
ዓያሱ, ʕayasu
ሕጂ, ħǧi
ብድሕሪኡ, bdħri'u
ህቦብላ, hbobla
ናይ, nay
ነዞም, näzom
ገጽካ, gäṣka
በብማይ, bäbmay
ኣእዳዎም, 'a'dawom
ክሳዕ, ksaʕ
ደቀሰ, däqäsä
ርኤኹ, r'eKu
ብኡብኡ, b'ub'u
በዚሑ, bäziħu
ከባቢኣን, käbabi'an
ዚገብር, zigäbr
ነውሪዩ, näwriyu
