word,count,trans
ናይ, 16, nay
ኣብ, 16, 'ab
ኣታ, 14, 'ata
ብ, 13, b
ፍቕሪ, 12, fQri
ካብ, 10, kab
ልበየ, 10, lbäyä
ልበይ, 9, lbäy
ኣማኒ, 9, 'amani
ሰብ, 8, säb
ኣምቸ, 8, 'amčä
ከም, 7, käm
ሚእቲ, 6, mi'ti
ኣይ, 6, 'ay
ሽፎን, 5, šfon
ዝኣምና, 5, z'amna
ምስ, 5, ms
እንተ, 4, 'ntä
በዚሑ, 4, bäziħu
ነውሪዩ, 4, näwriyu
ጽብቕቲ, 4, ṣbQti
ንከባበር, 4, nkäbabär
ሃይማኖት, 4, haymanot
ስምዒት, 4, smʕit
ካልእ, 4, kal'
ሽፎነይ, 4, šfonäy
ኩሉ, 4, kulu
ዘለዎ’የ, 3, zäläwo’yä
ዓለም, 3, ʕaläm
ወይ, 3, wäy
ምስ’ዚ, 3, ms’zi
ስኒት, 3, snit
ደሓን, 3, däħan
ኮይኑ, 3, koynu
ወዲ, 3, wädi
ኣዳነይ, 3, 'adanäy
ሰሓቕ, 3, säħaQ
ዋይ, 3, way
ናባኺ, 3, nabaKi
ኢያ, 3, 'iya
ጉሬ, 3, gure
ኣይነበረን, 3, 'aynäbärän
እቲ, 3, 'ti
ኢኺ, 3, 'iKi
ናትክስ, 3, natks
ሽፎነየ, 3, šfonäyä
ኣሎ, 3, 'alo
ሂወት, 3, hiwät
ከፊኡኒ, 3, käfi'uni
ሽማ, 3, šma
መልክዕ, 3, mälkʕ
ክንደይ, 3, kndäy
ክኸውን, 2, kKäwn
ኣፍወርቂ, 2, 'afwärqi
ሓንቲ, 2, ħanti
ዘዝመጻ, 2, zäzmäṣa
ናይሎን, 2, naylon
ማይ, 2, may
ፈትየ, 2, fätyä
በለለይ, 2, bäläläy
ቦታ, 2, bota
ዘትሓትት, 2, zätħatt
ኢሉኒ, 2, 'iluni
ኣምሪሐ, 2, 'amriħä
የብልክን, 2, yäblkn
ጎደሎ, 2, godälo
ዘይከሓድ, 2, zäykäħad
ፍልጠት, 2, flTät
ናትካ, 2, natka
ወይስ, 2, wäys
ሃገር, 2, hagär
እታ, 2, 'ta
ከሰተ, 2, käsätä
ዕድመ, 2, ʕdmä
ብዘይካ, 2, bzäyka
ህዝቢ, 2, hzbi
ማንታ, 2, manta
ቛንቛ, 2, QʷanQʷa
ፈጣሪ, 2, fäTari
ኮፍ, 2, kof
ኣበባ, 2, 'abäba
ግርማ, 2, grma
ምርኣይ, 2, mr'ay
መግቢ, 2, mägbi
በል, 2, bäl
ጌረ, 2, gerä
ጽርግያ, 2, ṣrgya
ሪአ, 2, ri'ä
እዚኣ’ያ, 2, 'zi'a’ya
ለኪምካኒ, 2, läkimkani
ናትካስ, 2, natkas
ጋሻ, 2, gaša
ዘርኢ, 2, zär'i
ኢለ, 2, 'ilä
ነገር, 2, nägär
ሰትያ, 2, sätya
ዕላማ, 2, ʕlama
ነብሰይ, 2, näbsäy
ለዋህ, 2, läwah
ናህሪ, 2, nahri
ብዘይ, 2, bzäy
ፍልልይና, 2, fllyna
ርኤያ, 2, r'eya
ሓደ, 2, ħadä
ቀሲነ, 2, qäsinä
ናብ, 2, nab
ኣብራር, 2, 'abrar
ብዓቐን, 2, bʕaQän
ናጽነት, 2, naṣnät
ተመሊሰ, 2, tämälisä
ፈሊጠ, 2, fäliTä
ዘይጽግማ, 2, zäyṣgma
ጸሓይ, 2, ṣäħay
መልክዐኛ, 2, mälkʕäña
ብዙሕ, 2, bzuħ
ተሎ, 2, tälo
ድንጋጽ, 2, dngaṣ
እዚ, 2, 'zi
አእምነትና, 2, 'ä'mnätna
ብዘይፈልጦ, 2, bzäyfälTo
ሃይለ, 2, haylä
እምነት, 2, 'mnät
ሃይማኖተይ, 2, haymanotäy
ፈለማ, 2, fäläma
ልቢ, 2, lbi
ኣዕሊለ’ውን, 2, 'aʕlilä’wn
ዑስማን, 2, ʕusman
ኔረ, 2, nerä
ምዕላል, 2, mʕlal
ንስኻ, 2, nsKa
ዝበለ, 2, zbälä
መድሃኒት, 2, mädhanit
ነውሪ, 2, näwri
ጎረቤት, 2, goräbet
ነዊሕ, 2, näwiħ
ጥዑም, 2, Tʕum
ደጊመ, 2, dägimä
ኤደን, 2, 'edän
ግጥሚ, 2, gTmi
ሰይመ, 1, säymä
ንሰማማዕ, 1, nsämamaʕ
ጎሪሑ, 1, goriħu
ሙግራሕ, 1, mugraħ
ኣስመራ, 1, 'asmära
ዝነውነዎ, 1, znäwnäwo
ሰናዶይ, 1, sänadoy
ውቁጥ, 1, wquT
ስብከት, 1, sbkät
ብሪ, 1, bri
ነባዒት, 1, näbaʕit
ኢለካ, 1, 'iläka
ጠሊ, 1, Täli
ፍቕራ, 1, fQra
ድሙቕ, 1, dmuQ
ስኒ, 1, sni
ጩራ, 1, Čura
ንእሽቶይ, 1, n'štoy
ብኣካል, 1, b'akal
እኽለ, 1, 'Klä
ህዝባ, 1, hzba
ሓሸውሸዋ, 1, ħašäwšäwa
ክዳን, 1, kdan
ተኸደና, 1, täKädäna
ድሕሪ, 1, dħri
ካብቲ, 1, kabti
ኣስሚር, 1, 'asmir
ትግርኛ, 1, tgrña
ትፈልጥ, 1, tfälT
ዝኣመነካ, 1, z'amänäka
ኣባይ, 1, 'abay
ንኸተማ, 1, nKätäma
ቅናት, 1, qnat
ጠባይ, 1, Täbay
ኣጋጣሚ, 1, 'agaTami
ዘይጸናዒት, 1, zäyṣänaʕit
ኣርሒቐ, 1, 'arħiQä
ገርሁ, 1, gärhu
ሪአኪ, 1, ri'äki
ተቐየረ, 1, täQäyärä
ኣማራጽ, 1, 'amaraṣ
ልሳን, 1, lsan
ልሙድ, 1, lmud
እናጠዓሞ, 1, 'naTäʕamo
መንገሻ, 1, mängäša
ከናፍር, 1, känafr
ያሬድ, 1, yared
ደጋፍ, 1, dägaf
እመነሉ, 1, 'mänälu
ደቢኑ, 1, däbinu
ደርጊ, 1, därgi
ፍቓድ, 1, fQad
(ዒላም, 1, (ʕilam
ዝነበረ’የ, 1, znäbärä’yä
ኣብልባ, 1, 'ablba
ይኩን, 1, ykun
ንሰብ, 1, nsäb
ይዝከረኒ, 1, yzkäräni
እናሃብኩ, 1, 'nahabku
ዘይብሉ, 1, zäyblu
