letter, count
ሀ, 6
ሁ, 5
ሂ, 1
ሃ, 30
ሄ, 6
ህ, 35
ሆ, 2
ሇ, 0
ለ, 101
ሉ, 37
ሊ, 32
ላ, 65
ሌ, 12
ል, 144
ሎ, 58
ሏ, 0
ሐ, 8
ሑ, 7
ሒ, 19
ሓ, 65
ሔ, 2
ሕ, 57
ሖ, 0
ሗ, 0
መ, 123
ሙ, 20
ሚ, 17
ማ, 60
ሜ, 5
ም, 265
ሞ, 20
ሟ, 0
ሠ, 0
ሡ, 0
ሢ, 0
ሣ, 0
ሤ, 0
ሥ, 0
ሦ, 0
ሧ, 0
ረ, 75
ሩ, 32
ሪ, 38
ራ, 52
ሬ, 4
ር, 163
ሮ, 23
ሯ, 0
ሰ, 90
ሱ, 14
ሲ, 18
ሳ, 53
ሴ, 11
ስ, 155
ሶ, 10
ሷ, 0
ሸ, 6
ሹ, 3
ሺ, 0
ሻ, 4
ሼ, 0
ሽ, 23
ሾ, 2
ሿ, 0
ቀ, 11
ቁ, 10
ቂ, 8
ቃ, 7
ቄ, 0
ቅ, 19
ቆ, 5
ቇ, 0
ቈ, 0
቉, 0
ቊ, 0
ቋ, 0
ቌ, 0
ቍ, 1
቎, 0
቏, 0
ቐ, 16
ቑ, 3
ቒ, 1
ቓ, 11
ቔ, 0
ቕ, 26
ቖ, 2
቗, 0
ቘ, 2
቙, 0
ቚ, 1
ቛ, 2
ቜ, 0
ቝ, 0
቞, 0
቟, 0
በ, 111
ቡ, 12
ቢ, 17
ባ, 70
ቤ, 12
ብ, 247
ቦ, 20
ቧ, 0
ቨ, 0
ቩ, 0
ቪ, 0
ቫ, 0
ቬ, 1
ቭ, 0
ቮ, 0
ቯ, 0
ተ, 107
ቱ, 21
ቲ, 60
ታ, 61
ቴ, 1
ት, 193
ቶ, 32
ቷ, 0
ቸ, 1
ቹ, 0
ቺ, 0
ቻ, 1
ቼ, 0
ች, 0
ቾ, 0
ቿ, 0
ኀ, 0
ኁ, 0
ኂ, 0
ኃ, 0
ኄ, 0
ኅ, 0
ኆ, 0
ኇ, 0
ኈ, 0
኉, 0
ኊ, 0
ኋ, 0
ኌ, 0
ኍ, 0
኎, 0
኏, 0
ነ, 106
ኑ, 16
ኒ, 41
ና, 92
ኔ, 8
ን, 389
ኖ, 8
ኗ, 0
ኘ, 0
ኙ, 0
ኚ, 0
ኛ, 4
ኜ, 0
ኝ, 0
ኞ, 0
ኟ, 0
አ, 20
ኡ, 33
ኢ, 32
ኣ, 232
ኤ, 23
እ, 156
ኦ, 20
ኧ, 0
ከ, 66
ኩ, 27
ኪ, 27
ካ, 55
ኬ, 2
ክ, 51
ኮ, 6
ኯ, 0
ኰ, 10
኱, 0
ኲ, 6
ኳ, 2
ኴ, 0
ኵ, 5
኶, 0
኷, 0
ኸ, 32
ኹ, 20
ኺ, 8
ኻ, 54
ኼ, 1
ኽ, 38
ኾ, 4
኿, 0
ዀ, 7
዁, 0
ዂ, 6
ዃ, 2
ዄ, 0
ዅ, 8
዆, 0
዇, 0
ወ, 62
ዉ, 14
ዊ, 12
ዋ, 32
ዌ, 1
ው, 66
ዎ, 12
ዏ, 0
ዐ, 3
ዑ, 11
ዒ, 13
ዓ, 68
ዔ, 3
ዕ, 68
ዖ, 2
዗, 0
ዘ, 76
ዙ, 8
ዚ, 43
ዛ, 27
ዜ, 6
ዝ, 76
ዞ, 7
ዟ, 0
ዠ, 0
ዡ, 0
ዢ, 0
ዣ, 0
ዤ, 0
ዥ, 0
ዦ, 0
ዧ, 0
የ, 42
ዩ, 15
ዪ, 5
ያ, 66
ዬ, 0
ይ, 241
ዮ, 23
ዯ, 0
ደ, 76
ዱ, 17
ዲ, 16
ዳ, 32
ዴ, 1
ድ, 81
ዶ, 13
ዷ, 0
ዸ, 0
ዹ, 0
ዺ, 0
ዻ, 0
ዼ, 0
ዽ, 0
ዾ, 0
ዿ, 0
ጀ, 6
ጁ, 0
ጂ, 1
ጃ, 3
ጄ, 0
ጅ, 2
ጆ, 1
ጇ, 0
ገ, 69
ጉ, 12
ጊ, 13
ጋ, 15
ጌ, 9
ግ, 48
ጎ, 6
ጏ, 0
ጐ, 9
጑, 0
ጒ, 0
ጓ, 7
ጔ, 0
ጕ, 2
጖, 0
጗, 0
ጘ, 0
ጙ, 0
ጚ, 0
ጛ, 0
ጜ, 0
ጝ, 0
ጞ, 0
ጟ, 0
ጠ, 19
ጡ, 3
ጢ, 4
ጣ, 10
ጤ, 0
ጥ, 23
ጦ, 3
ጧ, 0
ጨ, 4
ጩ, 1
ጪ, 0
ጫ, 1
ጬ, 0
ጭ, 6
ጮ, 0
ጯ, 0
ጰ, 0
ጱ, 0
ጲ, 2
ጳ, 1
ጴ, 1
ጵ, 0
ጶ, 0
ጷ, 0
ጸ, 28
ጹ, 8
ጺ, 8
ጻ, 13
ጼ, 2
ጽ, 43
ጾ, 3
ጿ, 0
ፀ, 0
ፁ, 0
ፂ, 0
ፃ, 0
ፄ, 0
ፅ, 0
ፆ, 0
ፇ, 0
ፈ, 27
ፉ, 9
ፊ, 5
ፋ, 11
ፌ, 0
ፍ, 57
ፎ, 7
ፏ, 0
ፐ, 0
ፑ, 0
ፒ, 0
ፓ, 0
ፔ, 0
ፕ, 0
ፖ, 0
ፗ, 0
ፘ, 0
ፙ, 0
ፚ, 0
፛, 0
፜, 0
፝, 0
፞, 0
፟, 0
