list,Map1
 
Yiddish ר = Roman r<br>Yiddish ע = Roman e<br>
ער,er
 
Yiddish ט = Roman t<br>Yiddish אַ = Roman a<br>
טאַטע,tate
טעאַטער,teater
 
Yiddish י = Roman i<br>Yiddish א = Roman <br>
איר,ir
אירע,ire
 
Yiddish ן = Roman n<br>
אַן,an
אין,in
איראַן,iran
 
Yiddish נ = Roman n<br>
ניט,nit
 
Yiddish ל = Roman l<br>
לערער,lerer
עלטער,elter
אַלע,ale
אַלט,alt
אַלטע,alte
אַלטער,alter
עלטערן,eltern
לערנען,lernen
 
Yiddish ג = Roman g<br>
טעג,teg
גיט,git
געגאַנגען,gegangen
געלט,gelt
לאַנג,lang
 
Yiddish ד = Roman d<br>
ערד,erd
דער,der
רעדט,redt
די,di
יעדע,jede
דיר,dir
יעדער,jeder
רעדן,redn
אַנדער,ander
אַנדערע,andere
אַנדערן,andern
ליד,lid
לידער,lider
לענדער,lender
לאַנד,land
גערעדט,geredt
 
Yiddish אָ = Roman o<br>
אָט,ot
אָרט,ort
יאָ,jo
יאָר,jor
אָן,on
טאָן,ton
יאָרן,jorn
נאָר,nor
ראָלע,role
גאָר,gor
גאָט,got
טאָג,tog
געטאָ,geto
געטאָן,geton
דאָ,do
אָדער,oder
דאָרט,dort
דאָרטן,dortn
 
Yiddish ש = Roman sh (IPA /ʃ/)<br>
שטעט,ʃtet
ערשט,erʃt
ערשטע,erʃte
ערשטער,erʃter
ערשטן,erʃtn
שטאַטן,ʃtatn
נישט,niʃt
שטעטל,ʃtetl
שטעלן,ʃteln
געשען,geʃen
געשטאַנען,geʃtanen
געשטעלט,geʃtelt
ענגליש,engliʃ
אַנדערש,anderʃ
שטאָט,ʃtot
נישטאָ,niʃto
גאָרנישט,gorniʃt
יענע ,jene 
יענער ,jener 
געלערנט ,gelernt 
דאַן ,dan 
יעדן ,jedn 
שטעלט ,ʃtelt 
שיל ,ʃil 
 
Yiddish ײַ = Roman aj<br>
אײַער,ajer
 
Yiddish ײ = Roman ej<br>
אײן,ejn
אַרײַן,arajn
אײנע,ejne
אײנער,ejner
נײַע,naje
נײַער,najer
טײל,tejl
אַלײן,alejn
לײענער,lejener
לײענען,lejenen
גײן,gejn
אײגענע,ejgene
אײדער,ejder
דרײַ,draj
דײַן,dajn
שטײט,ʃtejt
 
Yiddish טש = Roman tsh (IPA /t͡ʃ/)<br>
דײַטשן,dajt͡ʃn
דײַטשלאַנד,dajt͡ʃland
גײט ,gejt 
גרײט ,grejt 
רײד ,rejd 
 
Yiddish ז = Roman z<br>
זעט,zet
אַז,az
אַזאַ,aza
זי,zi
איז,iz
זען,zen
זינט,zint
זענען,zenen
געזען,gezen
זאָל,zol
זאָלן,zoln
לאָזן,lozn
זאָגט,zogt
געזאָגט,gezogt
זאָגן,zogn
 
Yiddish זש = Roman zh (IPA /ʒ/)<br>
זשע,ʒe
ניגלעזשע,nigleʒe
 
Yiddish דזש = Roman dzh (IPA /d͡ʒ/)<br>
דזשעז,d͡ʒez
זשיד,ʒid
יאָזש,joʒ
אָראַנדזש,orand͡ʒ
לאָזט ,lozt 
געלאָזט ,gelozt 
זײ,zej
זײער,zejer
זײערע,zejere
זײַט,zajt
זײַן,zajn
זײַנע,zajne
זײַנען,zajnen
 
Yiddish ב = Roman b<br>
אַרבעט,arbet
אַרבעטער,arbeter
איבער,iber
אַרבעטן,arbetn
בין,bin
ליב,lib
ליבע,libe
לעבן,lebn
געבן,gebn
געגעבן,gegebn
ברענגען,brengen
געלעבט,gelebt
געבליבן,geblibn
ברידער,brider
דעריבער,deriber
באַלד,bald
בילד,bild
בילדער,bilder
אָבער,ober
געשריבן,geʃribn
געשטאָרבן,geʃtorbn
געאַרבעט ,gearbet 
אָנגעשריבן ,ongeʃribn 
בײַ,baj
בלײַבט,blajbt
בלײַבן,blajbn
בײדע,bejde
שרײַבער,ʃrajber
שרײַבן,ʃrajbn
דערבײַ ,derbaj 
שרײַבט ,ʃrajbt 
ביז,biz
ביזן,bizn
זיבן,zibn
זשאַבע,ʒabe
זשלאָב,ʒlob
בראָדזשע,brod͡ʒe
געבראָדזשעט,gebrod͡ʒet
זעלבע ,zelbe 
זעלבער ,zelber 
זעלבן ,zelbn 
