List,Map1
זאָלן,zoln
פֿיל,fil
הײבט,hejbt
הענט,hent
פֿרױען ,frojen 
מײַן,majn
װי,vi
נאָר,nor
נאָך,nox
אַמעריקאַנער,amerikaner
געשיכטע,geʃixte
דערנאָך,dernox
זעלבער ,zelber 
אַזאַ,aza
ביז,biz
ערשט,erʃt
קאָנפֿערענץ,konferent͡s
מאָל,mol
אײגענעם,ejgenem
אױף,ojf
דאָזיקער ,doziker 
געגאַנגען,gegangen
יעדער,jeder
בודזשעט,bud͡ʒet
מײנונג,mejnung
טאָכטער,toxter
שפּילט ,ʃpilt 
זײַן,zajn
פֿרױ,froj
געהאַלטן ,gehaltn 
טױט,tojt
פֿילם,film
װײַטער ,vajter 
בילדער,bilder
פֿאַרבלאָנדזשע,farblond͡ʒe
אין,in
יאָרהונדערט,jorhundert
פּױלן,pojln
שטענדיק,ʃtendik
פֿון,fun
ביסל,bisl
װעלט,velt
ביזן,bizn
מע,me
אַװעק,avek
ייִדישן,jidiʃn
זשעסט,ʒest
ער,er
צװײטער,t͡svejter
סאַמע ,same 
קלײנע,klejne
געבליבן,geblibn
געבן,gebn
טוט,tut
רוסישער ,rusiʃer 
לאַנג,lang
בלײַבט,blajbt
נישט,niʃt
אײדער,ejder
סטודענטן,studentn
גרײט ,grejt 
געלערנט ,gelernt 
ייִדיש,jidiʃ
מיט,mit
פֿאַרענדיקט ,farendikt 
רוסלאַנד,rusland
סײַ,saj
לידער,lider
פּאַלעסטינער,palestiner
שיל ,ʃil 
זשיד,ʒid
רעדט,redt
נײַער,najer
סיריע,sirje
אַרײַן,arajn
פּרעמיער,premjer
געבראַכט ,gebraxt 
ראָמאַן,roman
פֿאַרמאָגט ,farmogt 
אונדז,undz
טױזנט,tojznt
זײ,zej
געקענט ,gekent 
נישטאָ,niʃto
ענטפֿער,entfer
אײַך,ajx
איראַן,iran
אונדזער,undzer
געפֿינט,gefint
האַלט ,halt 
קומט,kumt
הײַנט,hajnt
פֿאַרבונדן,farbundn
געקאָנט ,gekont 
פֿאָרשטעלונג,forʃtelung
אַרבעטער,arbeter
גערעדט,geredt
אוניװערסיטעט,universitet
